Date,Region,Forecast_Demand,Lower,Upper,Temperature_C,Season,Is_Festival,Plastic_Ban_Active
2024-02-12,North_Zone,11283,9274,13292,14.2,Winter,0,1
2024-02-13,North_Zone,11819,9810,13828,15.6,Winter,0,1
2024-02-14,North_Zone,12152,10143,14161,15.1,Winter,0,1
2024-02-15,North_Zone,12307,10298,14316,16.7,Winter,0,1
2024-02-16,North_Zone,11790,9782,13799,16.6,Winter,0,1
2024-02-17,North_Zone,11810,9801,13819,15.6,Winter,0,1
2024-02-18,North_Zone,12130,10121,14139,16.9,Winter,0,1
2024-02-19,North_Zone,11179,9170,13188,14.7,Winter,0,1
2024-02-20,North_Zone,11603,9594,13611,14.4,Winter,0,1
2024-02-21,North_Zone,11815,9806,13823,15.5,Winter,0,1
2024-02-22,North_Zone,11190,9181,13198,14.4,Winter,0,1
2024-02-23,North_Zone,12298,10290,14307,18.2,Winter,0,1
2024-02-24,North_Zone,11989,9980,13998,15.9,Winter,0,1
2024-02-25,North_Zone,10745,8736,12754,13.5,Winter,0,1
2024-02-26,North_Zone,11805,9796,13814,16.4,Winter,0,1
2024-02-27,North_Zone,10922,8913,12930,13.5,Winter,0,1
2024-02-28,North_Zone,11113,9104,13122,14.3,Winter,0,1
2024-02-29,North_Zone,11113,9104,13122,14.3,Winter,0,1
2024-03-01,North_Zone,19063,17054,21072,38.7,Summer,1,1
2024-03-02,North_Zone,17608,15599,19617,31.3,Summer,1,1
2024-03-03,North_Zone,17210,15202,19219,36.3,Summer,0,1
2024-03-04,North_Zone,17010,15001,19019,35.7,Summer,0,1
2024-03-05,North_Zone,16743,14734,18752,35.2,Summer,0,1
2024-03-06,North_Zone,17487,15478,19496,31.2,Summer,1,1
2024-03-07,North_Zone,17617,15609,19626,31.1,Summer,1,1
2024-03-08,North_Zone,19098,17089,21107,38.2,Summer,1,1
2024-03-09,North_Zone,16578,14569,18587,35.0,Summer,0,1
2024-03-10,North_Zone,17648,15639,19657,33.3,Summer,1,1
2024-03-11,North_Zone,16959,14950,18967,35.6,Summer,0,1
2024-03-12,North_Zone,16238,14229,18247,34.4,Summer,0,1
2024-03-13,North_Zone,16918,14909,18927,35.3,Summer,0,1
2024-03-14,North_Zone,19191,17182,21200,38.6,Summer,1,1
2024-03-15,North_Zone,18485,16476,20494,35.2,Summer,1,1
2024-03-16,North_Zone,17494,15485,19503,37.4,Summer,0,1
2024-03-17,North_Zone,17421,15412,19429,38.1,Summer,0,1
2024-03-18,North_Zone,15565,13556,17574,32.8,Summer,0,1
2024-03-19,North_Zone,15575,13567,17584,32.5,Summer,0,1
2024-03-20,North_Zone,16005,13996,18013,33.9,Summer,0,1
2024-03-21,North_Zone,17220,15211,19229,37.8,Summer,0,1
2024-03-22,North_Zone,17843,15834,19852,33.6,Summer,1,1
2024-03-23,North_Zone,17414,15405,19422,32.7,Summer,1,1
2024-03-24,North_Zone,19049,17040,21058,37.5,Summer,1,1
2024-03-25,North_Zone,15883,13874,17892,32.0,Summer,0,1
2024-03-26,North_Zone,18699,16691,20708,36.4,Summer,1,1
2024-03-27,North_Zone,15534,13525,17543,33.2,Summer,0,1
2024-03-28,North_Zone,18686,16677,20695,34.6,Summer,1,1
2024-03-29,North_Zone,15655,13646,17664,32.6,Summer,0,1
2024-03-30,North_Zone,16596,14587,18605,34.2,Summer,0,1
2024-03-31,North_Zone,19162,17153,21171,38.8,Summer,1,1
2024-04-01,North_Zone,17300,15291,19309,37.5,Summer,0,1
2024-04-02,North_Zone,16688,14679,18696,35.4,Summer,0,1
2024-04-03,North_Zone,16938,14929,18947,36.8,Summer,0,1
2024-04-04,North_Zone,16620,14611,18629,35.2,Summer,0,1
2024-04-05,North_Zone,17447,15438,19456,37.5,Summer,0,1
2024-04-06,North_Zone,17130,15121,19139,36.4,Summer,0,1
2024-04-07,North_Zone,15841,13833,17850,33.9,Summer,0,1
2024-04-08,North_Zone,16522,14513,18531,34.7,Summer,0,1
2024-04-09,North_Zone,16999,14990,19008,36.7,Summer,0,1
2024-04-10,North_Zone,17930,15922,19939,41.6,Summer,0,1
2024-04-11,North_Zone,15373,13364,17382,33.2,Summer,0,1
2024-04-12,North_Zone,16649,14640,18658,35.7,Summer,0,1
2024-04-13,North_Zone,16630,14621,18639,36.1,Summer,0,1
2024-04-14,North_Zone,16532,14523,18541,34.6,Summer,0,1
2024-04-15,North_Zone,16933,14924,18942,36.5,Summer,0,1
2024-04-16,North_Zone,15370,13361,17379,31.7,Summer,0,1
2024-04-17,North_Zone,15502,13493,17511,33.0,Summer,0,1
2024-04-18,North_Zone,17250,15241,19259,39.5,Summer,0,1
2024-04-19,North_Zone,16197,14188,18206,33.7,Summer,0,1
2024-04-20,North_Zone,17334,15326,19343,39.3,Summer,0,1
2024-04-21,North_Zone,16853,14844,18861,36.7,Summer,0,1
2024-04-22,North_Zone,18138,16129,20147,41.0,Summer,0,1
2024-04-23,North_Zone,16419,14411,18428,34.0,Summer,0,1
2024-04-24,North_Zone,16218,14209,18227,34.3,Summer,0,1
2024-04-25,North_Zone,15514,13505,17523,33.4,Summer,0,1
2024-04-26,North_Zone,15558,13549,17567,33.1,Summer,0,1
2024-04-27,North_Zone,15769,13760,17778,31.2,Summer,0,1
2024-04-28,North_Zone,17083,15074,19092,36.4,Summer,0,1
2024-04-29,North_Zone,15613,13605,17622,32.7,Summer,0,1
2024-04-30,North_Zone,16770,14761,18778,35.1,Summer,0,1
2024-05-01,North_Zone,16702,14693,18711,35.2,Summer,0,1
2024-05-02,North_Zone,15679,13670,17688,33.3,Summer,0,1
2024-05-03,North_Zone,14867,12859,16876,28.9,Summer,0,1
2024-05-04,North_Zone,15624,13615,17632,32.1,Summer,0,1
2024-05-05,North_Zone,17225,15216,19234,39.7,Summer,0,1
2024-05-06,North_Zone,15733,13725,17742,31.8,Summer,0,1
2024-05-07,North_Zone,17394,15385,19403,39.0,Summer,0,1
2024-05-08,North_Zone,17300,15291,19309,37.4,Summer,0,1
2024-05-09,North_Zone,16839,14830,18848,35.5,Summer,0,1
2024-05-10,North_Zone,16548,14539,18557,35.6,Summer,0,1
2024-05-11,North_Zone,15365,13356,17373,30.9,Summer,0,1
2024-05-12,North_Zone,15641,13632,17650,32.1,Summer,0,1
2024-05-13,North_Zone,16692,14684,18701,35.9,Summer,0,1
2024-05-14,North_Zone,16689,14680,18698,36.0,Summer,0,1
2024-05-15,North_Zone,15746,13737,17755,31.8,Summer,0,1
2024-05-16,North_Zone,17321,15312,19330,37.4,Summer,0,1
2024-05-17,North_Zone,16475,14466,18484,34.5,Summer,0,1
2024-05-18,North_Zone,16711,14702,18720,35.9,Summer,0,1
2024-05-19,North_Zone,16380,14371,18389,34.3,Summer,0,1
2024-05-20,North_Zone,15631,13622,17640,31.8,Summer,0,1
2024-05-21,North_Zone,16499,14490,18508,34.7,Summer,0,1
2024-05-22,North_Zone,16478,14470,18487,34.4,Summer,0,1
2024-05-23,North_Zone,16977,14968,18986,36.4,Summer,0,1
2024-05-24,North_Zone,16988,14980,18997,37.1,Summer,0,1
2024-05-25,North_Zone,16785,14776,18794,35.8,Summer,0,1
2024-05-26,North_Zone,16789,14780,18798,35.1,Summer,0,1
2024-05-27,North_Zone,17385,15377,19394,37.5,Summer,0,1
2024-05-28,North_Zone,15849,13840,17858,32.9,Summer,0,1
2024-05-29,North_Zone,16070,14061,18079,33.4,Summer,0,1
2024-05-30,North_Zone,16945,14936,18954,34.8,Summer,0,1
2024-05-31,North_Zone,16877,14869,18886,34.6,Summer,0,1
2024-06-01,North_Zone,14424,12415,16432,29.5,Monsoon,0,1
2024-06-02,North_Zone,14181,12172,16190,29.0,Monsoon,0,1
2024-06-03,North_Zone,12929,10920,14938,25.8,Monsoon,0,1
2024-06-04,North_Zone,13885,11876,15894,27.2,Monsoon,0,1
2024-06-05,North_Zone,13631,11622,15639,29.0,Monsoon,0,1
2024-06-06,North_Zone,13686,11677,15695,28.8,Monsoon,0,1
2024-06-07,North_Zone,13876,11867,15885,28.6,Monsoon,0,1
2024-06-08,North_Zone,13709,11701,15718,27.8,Monsoon,0,1
2024-06-09,North_Zone,14807,12798,16816,31.3,Monsoon,0,1
2024-06-10,North_Zone,13156,11147,15165,27.3,Monsoon,0,1
2024-06-11,North_Zone,13095,11086,15104,25.4,Monsoon,0,1
2024-06-12,North_Zone,13903,11894,15912,29.3,Monsoon,0,1
2024-06-13,North_Zone,13797,11788,15806,28.6,Monsoon,0,1
2024-06-14,North_Zone,14321,12312,16330,29.7,Monsoon,0,1
2024-06-15,North_Zone,14501,12492,16510,30.8,Monsoon,0,1
2024-06-16,North_Zone,13815,11806,15824,27.4,Monsoon,0,1
2024-06-17,North_Zone,13413,11404,15422,26.4,Monsoon,0,1
2024-06-18,North_Zone,14361,12352,16370,30.9,Monsoon,0,1
2024-06-19,North_Zone,14266,12257,16275,30.2,Monsoon,0,1
2024-06-20,North_Zone,14085,12077,16094,30.7,Monsoon,0,1
2024-06-21,North_Zone,13559,11550,15568,28.1,Monsoon,0,1
2024-06-22,North_Zone,14360,12351,16369,29.7,Monsoon,0,1
2024-06-23,North_Zone,13708,11699,15717,28.9,Monsoon,0,1
2024-06-24,North_Zone,13614,11605,15623,26.6,Monsoon,0,1
2024-06-25,North_Zone,13699,11690,15708,28.3,Monsoon,0,1
2024-06-26,North_Zone,13522,11513,15531,26.6,Monsoon,0,1
2024-06-27,North_Zone,13725,11716,15734,26.3,Monsoon,0,1
2024-06-28,North_Zone,13505,11496,15514,28.1,Monsoon,0,1
2024-06-29,North_Zone,13910,11901,15919,29.0,Monsoon,0,1
2024-06-30,North_Zone,13650,11641,15659,28.1,Monsoon,0,1
2024-07-01,North_Zone,14217,12209,16226,29.6,Monsoon,0,1
2024-07-02,North_Zone,14169,12160,16178,30.2,Monsoon,0,1
2024-07-03,North_Zone,14076,12067,16085,29.9,Monsoon,0,1
2024-07-04,North_Zone,13490,11481,15499,27.8,Monsoon,0,1
2024-07-05,North_Zone,13225,11216,15234,25.3,Monsoon,0,1
2024-07-06,North_Zone,14243,12234,16252,30.3,Monsoon,0,1
2024-07-07,North_Zone,13637,11628,15645,28.1,Monsoon,0,1
2024-07-08,North_Zone,14267,12258,16276,30.0,Monsoon,0,1
2024-07-09,North_Zone,13896,11887,15905,27.6,Monsoon,0,1
2024-07-10,North_Zone,14009,12000,16018,26.7,Monsoon,0,1
2024-07-11,North_Zone,13870,11861,15879,28.4,Monsoon,0,1
2024-07-12,North_Zone,13410,11401,15419,27.4,Monsoon,0,1
2024-07-13,North_Zone,14173,12165,16182,30.4,Monsoon,0,1
2024-07-14,North_Zone,14114,12106,16123,30.8,Monsoon,0,1
2024-07-15,North_Zone,13800,11791,15809,30.1,Monsoon,0,1
2024-07-16,North_Zone,13654,11645,15663,28.8,Monsoon,0,1
2024-07-17,North_Zone,13821,11812,15830,27.7,Monsoon,0,1
2024-07-18,North_Zone,14290,12281,16299,31.3,Monsoon,0,1
2024-07-19,North_Zone,13064,11055,15073,25.2,Monsoon,0,1
2024-07-20,North_Zone,13270,11261,15279,27.3,Monsoon,0,1
2024-07-21,North_Zone,13602,11594,15611,27.7,Monsoon,0,1
2024-07-22,North_Zone,14224,12215,16233,29.2,Monsoon,0,1
2024-07-23,North_Zone,13208,11199,15217,25.7,Monsoon,0,1
2024-07-24,North_Zone,14540,12531,16549,31.2,Monsoon,0,1
2024-07-25,North_Zone,13591,11583,15600,27.7,Monsoon,0,1
2024-07-26,North_Zone,13144,11135,15153,26.1,Monsoon,0,1
2024-07-27,North_Zone,13559,11550,15568,27.9,Monsoon,0,1
2024-07-28,North_Zone,13843,11834,15852,29.9,Monsoon,0,1
2024-07-29,North_Zone,13788,11779,15797,27.2,Monsoon,0,1
2024-07-30,North_Zone,13313,11304,15322,26.3,Monsoon,0,1
2024-07-31,North_Zone,14582,12573,16591,30.0,Monsoon,0,1
2024-08-01,North_Zone,14463,12454,16472,32.4,Monsoon,0,1
2024-08-02,North_Zone,13677,11668,15686,27.2,Monsoon,0,1
2024-08-03,North_Zone,13587,11578,15595,28.4,Monsoon,0,1
2024-08-04,North_Zone,12996,10988,15005,25.5,Monsoon,0,1
2024-08-05,North_Zone,13791,11782,15800,28.7,Monsoon,0,1
2024-08-06,North_Zone,13499,11490,15508,26.8,Monsoon,0,1
2024-08-07,North_Zone,13541,11532,15550,28.3,Monsoon,0,1
2024-08-08,North_Zone,13265,11256,15274,27.9,Monsoon,0,1
2024-08-09,North_Zone,13675,11666,15684,27.4,Monsoon,0,1
2024-08-10,North_Zone,12994,10985,15002,25.8,Monsoon,0,1
2024-08-11,North_Zone,14732,12723,16740,32.0,Monsoon,0,1
2024-08-12,North_Zone,13481,11472,15490,27.3,Monsoon,0,1
2024-08-13,North_Zone,13681,11672,15690,28.1,Monsoon,0,1
2024-08-14,North_Zone,13745,11736,15754,27.5,Monsoon,0,1
2024-08-15,North_Zone,13828,11819,15837,28.8,Monsoon,0,1
2024-08-16,North_Zone,13878,11869,15887,28.0,Monsoon,0,1
2024-08-17,North_Zone,13460,11451,15469,28.1,Monsoon,0,1
2024-08-18,North_Zone,14096,12087,16105,29.3,Monsoon,0,1
2024-08-19,North_Zone,13744,11735,15752,27.9,Monsoon,0,1
2024-08-20,North_Zone,14297,12288,16306,29.9,Monsoon,0,1
2024-08-21,North_Zone,13917,11908,15926,28.5,Monsoon,0,1
2024-08-22,North_Zone,13749,11740,15758,27.9,Monsoon,0,1
2024-08-23,North_Zone,13026,11017,15035,25.5,Monsoon,0,1
2024-08-24,North_Zone,13890,11881,15899,30.0,Monsoon,0,1
2024-08-25,North_Zone,14105,12097,16114,29.2,Monsoon,0,1
2024-08-26,North_Zone,13491,11482,15500,27.3,Monsoon,0,1
2024-08-27,North_Zone,13735,11726,15744,29.0,Monsoon,0,1
2024-08-28,North_Zone,13396,11387,15405,27.4,Monsoon,0,1
2024-08-29,North_Zone,14227,12218,16236,29.5,Monsoon,0,1
2024-08-30,North_Zone,13761,11752,15770,27.8,Monsoon,0,1
2024-08-31,North_Zone,14335,12326,16344,30.1,Monsoon,0,1
2024-09-01,North_Zone,13047,11038,15056,24.2,Autumn,0,1
2024-09-02,North_Zone,12500,10491,14509,18.8,Autumn,0,1
2024-09-03,North_Zone,12546,10537,14555,22.4,Autumn,0,1
2024-09-04,North_Zone,13484,11475,15493,25.9,Autumn,0,1
2024-09-05,North_Zone,12002,9993,14011,20.5,Autumn,0,1
2024-09-06,North_Zone,12310,10302,14319,20.3,Autumn,0,1
2024-09-07,North_Zone,12944,10935,14953,24.4,Autumn,0,1
2024-09-08,North_Zone,13995,11986,16004,28.5,Autumn,0,1
2024-09-09,North_Zone,12645,10636,14653,23.6,Autumn,0,1
2024-09-10,North_Zone,12707,10698,14716,23.6,Autumn,0,1
2024-09-11,North_Zone,12850,10841,14859,23.8,Autumn,0,1
2024-09-12,North_Zone,12353,10344,14362,22.8,Autumn,0,1
2024-09-13,North_Zone,12562,10553,14571,23.4,Autumn,0,1
2024-09-14,North_Zone,12721,10712,14730,23.6,Autumn,0,1
2024-09-15,North_Zone,13408,11399,15417,25.9,Autumn,0,1
2024-09-16,North_Zone,12586,10577,14594,23.4,Autumn,0,1
2024-09-17,North_Zone,12690,10681,14698,21.5,Autumn,0,1
2024-09-18,North_Zone,13673,11665,15682,25.9,Autumn,0,1
2024-09-19,North_Zone,12388,10379,14396,22.8,Autumn,0,1
2024-09-20,North_Zone,12965,10956,14974,24.1,Autumn,0,1
2024-09-21,North_Zone,12987,10978,14996,24.2,Autumn,0,1
2024-09-22,North_Zone,13434,11425,15443,24.8,Autumn,0,1
2024-09-23,North_Zone,12778,10770,14787,23.8,Autumn,0,1
2024-09-24,North_Zone,12724,10715,14733,24.0,Autumn,0,1
2024-09-25,North_Zone,13460,11451,15468,24.9,Autumn,0,1
2024-09-26,North_Zone,13697,11688,15706,26.0,Autumn,0,1
2024-09-27,North_Zone,12444,10435,14452,19.6,Autumn,0,1
2024-09-28,North_Zone,12485,10476,14493,22.6,Autumn,0,1
2024-09-29,North_Zone,13381,11372,15390,25.6,Autumn,0,1
2024-09-30,North_Zone,12386,10377,14395,21.4,Autumn,0,1
2024-10-01,North_Zone,16984,14975,18993,24.1,Autumn,1,1
2024-10-02,North_Zone,17268,15259,19277,24.2,Autumn,1,1
2024-10-03,North_Zone,17209,15200,19218,24.1,Autumn,1,1
2024-10-04,North_Zone,17742,15733,19751,25.4,Autumn,1,1
2024-10-05,North_Zone,13347,11338,15356,25.0,Autumn,0,1
2024-10-06,North_Zone,13436,11427,15445,25.2,Autumn,0,1
2024-10-07,North_Zone,17236,15227,19245,23.5,Autumn,1,1
2024-10-08,North_Zone,17276,15268,19285,23.7,Autumn,1,1
2024-10-09,North_Zone,16992,14983,19001,23.8,Autumn,1,1
2024-10-10,North_Zone,17270,15261,19279,24.0,Autumn,1,1
2024-10-11,North_Zone,17317,15308,19326,23.9,Autumn,1,1
2024-10-12,North_Zone,17752,15743,19761,25.9,Autumn,1,1
2024-10-13,North_Zone,17124,15115,19132,22.5,Autumn,1,1
2024-10-14,North_Zone,17212,15203,19221,22.9,Autumn,1,1
2024-10-15,North_Zone,17153,15145,19162,23.8,Autumn,1,1
2024-10-16,North_Zone,17364,15355,19373,21.9,Autumn,1,1
2024-10-17,North_Zone,18081,16072,20090,26.4,Autumn,1,1
2024-10-18,North_Zone,17934,15925,19943,25.5,Autumn,1,1
2024-10-19,North_Zone,17344,15335,19353,23.5,Autumn,1,1
2024-10-20,North_Zone,17303,15294,19312,21.9,Autumn,1,1
2024-10-21,North_Zone,18006,15997,20015,25.9,Autumn,1,1
2024-10-22,North_Zone,17905,15896,19914,25.5,Autumn,1,1
2024-10-23,North_Zone,17837,15828,19845,24.6,Autumn,1,1
2024-10-24,North_Zone,16808,14800,18817,22.6,Autumn,1,1
2024-10-25,North_Zone,17269,15260,19278,23.6,Autumn,1,1
2024-10-26,North_Zone,17361,15352,19370,23.5,Autumn,1,1
2024-10-27,North_Zone,17894,15885,19903,25.1,Autumn,1,1
2024-10-28,North_Zone,12783,10774,14792,23.9,Autumn,0,1
2024-10-29,North_Zone,17036,15027,19045,22.8,Autumn,1,1
2024-10-30,North_Zone,17776,15767,19785,25.0,Autumn,1,1
2024-10-31,North_Zone,13031,11023,15040,22.5,Autumn,0,1
2024-11-01,North_Zone,17742,15733,19750,24.6,Autumn,1,1
2024-11-02,North_Zone,17197,15188,19205,24.3,Autumn,1,1
2024-11-03,North_Zone,17030,15021,19039,23.0,Autumn,1,1
2024-11-04,North_Zone,18109,16100,20118,27.2,Autumn,1,1
2024-11-05,North_Zone,12404,10395,14413,22.6,Autumn,0,1
2024-11-06,North_Zone,17697,15688,19706,25.7,Autumn,1,1
2024-11-07,North_Zone,17168,15159,19177,22.9,Autumn,1,1
2024-11-08,North_Zone,17308,15299,19317,24.0,Autumn,1,1
2024-11-09,North_Zone,17795,15786,19804,26.1,Autumn,1,1
2024-11-10,North_Zone,16959,14950,18968,23.2,Autumn,1,1
2024-11-11,North_Zone,17400,15391,19409,24.7,Autumn,1,1
2024-11-12,North_Zone,17964,15955,19972,26.6,Autumn,1,1
2024-11-13,North_Zone,17808,15800,19817,25.5,Autumn,1,1
2024-11-14,North_Zone,18086,16077,20095,27.2,Autumn,1,1
2024-11-15,North_Zone,17892,15883,19901,24.6,Autumn,1,1
2024-11-16,North_Zone,17349,15340,19358,24.1,Autumn,1,1
2024-11-17,North_Zone,17392,15383,19400,24.2,Autumn,1,1
2024-11-18,North_Zone,18227,16218,20236,26.7,Autumn,1,1
2024-11-19,North_Zone,17430,15421,19439,22.9,Autumn,1,1
2024-11-20,North_Zone,17197,15188,19205,23.9,Autumn,1,1
2024-11-21,North_Zone,17263,15254,19272,22.3,Autumn,1,1
2024-11-22,North_Zone,17158,15149,19166,24.4,Autumn,1,1
2024-11-23,North_Zone,18173,16164,20182,26.3,Autumn,1,1
2024-11-24,North_Zone,18313,16305,20322,28.5,Autumn,1,1
2024-11-25,North_Zone,18137,16128,20146,26.2,Autumn,1,1
2024-11-26,North_Zone,17179,15170,19188,23.1,Autumn,1,1
2024-11-27,North_Zone,17867,15858,19876,25.9,Autumn,1,1
2024-11-28,North_Zone,17973,15964,19982,25.3,Autumn,1,1
2024-11-29,North_Zone,13695,11686,15704,25.4,Autumn,0,1
2024-11-30,North_Zone,17231,15222,19240,24.4,Autumn,1,1
2024-12-01,North_Zone,10534,8526,12543,12.9,Winter,0,1
2024-12-02,North_Zone,10769,8760,12778,12.0,Winter,0,1
2024-12-03,North_Zone,11633,9624,13642,15.2,Winter,0,1
2024-12-04,North_Zone,11936,9927,13945,16.6,Winter,0,1
2024-12-05,North_Zone,11239,9230,13247,13.0,Winter,0,1
2024-12-06,North_Zone,10864,8856,12873,13.2,Winter,0,1
2024-12-07,North_Zone,11595,9586,13603,15.3,Winter,0,1
2024-12-08,North_Zone,11995,9986,14004,15.4,Winter,0,1
2024-12-09,North_Zone,11155,9146,13164,14.6,Winter,0,1
2024-12-10,North_Zone,11064,9055,13072,13.8,Winter,0,1
2024-12-11,North_Zone,11297,9288,13306,14.7,Winter,0,1
2024-12-12,North_Zone,12386,10377,14395,19.7,Winter,0,1
2024-12-13,North_Zone,11502,9493,13511,16.4,Winter,0,1
2024-12-14,North_Zone,10779,8770,12788,12.6,Winter,0,1
2024-12-15,North_Zone,11799,9790,13808,16.3,Winter,0,1
2024-12-16,North_Zone,11021,9012,13030,14.2,Winter,0,1
2024-12-17,North_Zone,10718,8709,12727,12.9,Winter,0,1
2024-12-18,North_Zone,11801,9792,13810,16.6,Winter,0,1
2024-12-19,North_Zone,10736,8727,12745,13.9,Winter,0,1
2024-12-20,North_Zone,11846,9837,13855,15.9,Winter,0,1
2024-12-21,North_Zone,10771,8762,12780,13.1,Winter,0,1
2024-12-22,North_Zone,11472,9463,13481,14.4,Winter,0,1
2024-12-23,North_Zone,12003,9994,14012,17.7,Winter,0,1
2024-12-24,North_Zone,10986,8977,12995,13.8,Winter,0,1
2024-12-25,North_Zone,11929,9920,13938,16.5,Winter,0,1
2024-12-26,North_Zone,11904,9895,13913,16.7,Winter,0,1
2024-12-27,North_Zone,10800,8791,12809,13.6,Winter,0,1
2024-12-28,North_Zone,10783,8774,12792,14.2,Winter,0,1
2024-12-29,North_Zone,11737,9728,13746,16.3,Winter,0,1
2024-12-30,North_Zone,10693,8684,12702,13.4,Winter,0,1
2024-12-31,North_Zone,12179,10170,14188,17.9,Winter,0,1
2024-01-01,South_Zone,11673,9664,13682,15.3,Winter,0,0
2024-01-02,South_Zone,10664,8655,12673,11.6,Winter,0,0
2024-01-03,South_Zone,12554,10545,14563,17.3,Winter,0,0
2024-01-04,South_Zone,11376,9367,13385,13.5,Winter,0,0
2024-01-05,South_Zone,11931,9922,13940,16.6,Winter,0,0
2024-01-06,South_Zone,11580,9571,13589,14.8,Winter,0,0
2024-01-07,South_Zone,11961,9953,13970,16.3,Winter,0,0
2024-01-08,South_Zone,12198,10190,14207,16.8,Winter,0,0
2024-01-09,South_Zone,11180,9171,13189,13.3,Winter,0,0
2024-01-10,South_Zone,11957,9948,13966,15.2,Winter,0,0
2024-01-11,South_Zone,11537,9528,13546,13.3,Winter,0,0
2024-01-12,South_Zone,11965,9956,13974,15.8,Winter,0,0
2024-01-13,South_Zone,11989,9981,13998,16.0,Winter,0,0
2024-01-14,South_Zone,11755,9746,13764,12.9,Winter,0,0
2024-01-15,South_Zone,11530,9521,13539,13.7,Winter,0,0
2024-01-16,South_Zone,12085,10076,14093,15.8,Winter,0,0
2024-01-17,South_Zone,12100,10091,14108,16.3,Winter,0,0
2024-01-18,South_Zone,11599,9590,13608,14.2,Winter,0,0
2024-01-19,South_Zone,12866,10857,14874,16.9,Winter,0,0
2024-01-20,South_Zone,12070,10061,14079,15.0,Winter,0,0
2024-01-21,South_Zone,12703,10694,14712,17.6,Winter,0,0
2024-01-22,South_Zone,12290,10281,14299,16.3,Winter,0,0
2024-01-23,South_Zone,12122,10113,14131,16.5,Winter,0,0
2024-01-24,South_Zone,11815,9806,13824,14.8,Winter,0,0
2024-01-25,South_Zone,11853,9844,13862,14.5,Winter,0,0
2024-01-26,South_Zone,11994,9985,14003,15.4,Winter,0,0
2024-01-27,South_Zone,11600,9591,13609,13.5,Winter,0,0
2024-01-28,South_Zone,12150,10141,14159,15.9,Winter,0,0
2024-01-29,South_Zone,11663,9654,13671,12.2,Winter,0,0
2024-01-30,South_Zone,11911,9903,13920,15.1,Winter,0,0
2024-01-31,South_Zone,12139,10131,14148,16.0,Winter,0,0
2024-02-01,South_Zone,11932,9923,13940,15.5,Winter,0,0
2024-02-02,South_Zone,11856,9847,13865,15.6,Winter,0,0
2024-02-03,South_Zone,12102,10093,14111,16.1,Winter,0,0
