Date,Region,Season,Temperature_C,Is_Festival,Base_Demand,City_Proxy,Latitude,Longitude,Served_Population_M,Urbanisation,Elevation_m,Coastal,Area_k_km2,Climate_Zone,Humidity_pct,Rainfall_mm,Heat_Index_C,Wind_Speed_kmph,UV_Index,Extreme_Weather_Flag,Temp_Anomaly_C,Drought_Index,Air_Quality_Index,Water_Stress_Index,Political_Stability_Index,Plastic_Ban_Active,Economic_Index,Consumer_Confidence,Tourism_Index,Election_Period,Water_Tax_Rate,Govt_Subsidy_Active,Target_Demand
2021-01-11,East_Zone,Winter,17.1,0,8770,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,82.1,0.0,17.1,6.3,3.4,0,-0.035,0.415,116.0,0.461,80.5,0,100.93,55.9,63.2,0,3.5,0,8555
2021-01-12,East_Zone,Winter,14.6,0,8673,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,83.1,0.0,14.6,1.0,3.3,0,0.056,0.317,180.0,0.417,73.0,0,101.01,49.1,83.2,0,3.5,0,8587
2021-01-13,East_Zone,Winter,9.2,0,6135,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,82.8,0.0,9.2,8.4,1.9,0,-0.014,0.466,152.0,0.429,71.4,0,100.44,44.6,72.2,0,3.5,0,6210
2021-01-14,East_Zone,Winter,16.0,0,8412,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,84.0,0.0,16.0,3.9,3.6,0,0.055,0.495,144.0,0.454,76.4,0,99.69,50.6,69.8,0,3.5,0,8507
2021-01-15,East_Zone,Winter,18.2,0,10315,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,79.4,0.0,18.2,2.3,3.3,0,0.062,0.495,155.0,0.516,74.8,0,99.57,61.4,68.0,0,3.5,0,10527
2021-01-16,East_Zone,Winter,17.2,0,10745,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,73.4,0.0,17.2,8.5,2.5,0,-0.023,0.462,139.0,0.494,77.0,0,102.3,56.0,77.2,0,3.5,0,10907
2021-01-17,East_Zone,Winter,14.8,0,9206,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,81.0,3.2,14.8,7.7,3.3,0,0.11,0.441,147.0,0.447,74.3,0,100.68,49.9,72.7,0,3.5,0,9305
2021-01-18,East_Zone,Winter,13.2,0,10273,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,75.3,0.0,13.2,6.7,3.2,0,-0.023,0.36,130.0,0.454,76.9,0,99.49,54.6,67.7,0,3.5,0,10347
2021-01-19,East_Zone,Winter,21.0,0,10247,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,79.8,0.0,21.0,12.6,4.6,0,0.002,0.439,157.0,0.453,80.2,0,101.16,52.9,70.5,0,3.5,0,10686
2021-01-20,East_Zone,Winter,16.2,0,10127,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,78.0,2.3,16.2,7.9,3.2,0,-0.098,0.382,149.0,0.382,71.7,0,101.02,55.0,73.6,0,3.5,0,10041
2021-01-21,East_Zone,Winter,14.6,0,8114,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,78.3,0.0,14.6,4.1,3.9,0,-0.027,0.452,153.0,0.394,72.6,0,100.38,56.7,70.1,0,3.5,0,8233
2021-01-22,East_Zone,Winter,17.6,0,9468,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,74.0,0.1,17.6,7.6,4.5,0,0.216,0.374,177.0,0.406,69.2,0,99.84,53.7,76.1,0,3.5,0,9560
2021-01-23,East_Zone,Winter,15.5,0,8219,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,84.8,0.0,15.5,5.1,3.1,0,-0.09,0.451,136.0,0.405,75.1,0,101.51,54.1,82.6,0,3.5,0,8334
2021-01-24,East_Zone,Winter,9.8,0,7650,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,81.3,1.9,9.8,9.8,3.2,0,0.044,0.499,148.0,0.473,74.4,0,101.75,59.6,69.9,0,3.5,0,7603
2021-01-25,East_Zone,Winter,17.7,0,9248,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,75.2,0.0,17.7,6.8,4.7,0,-0.045,0.443,120.0,0.434,77.8,0,101.16,55.6,70.6,0,3.5,0,9490
2021-01-26,East_Zone,Winter,19.3,0,9264,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,74.7,0.0,19.3,7.1,3.9,0,-0.221,0.44,160.0,0.463,73.9,0,100.94,54.2,67.9,0,3.5,0,9355
2021-01-27,East_Zone,Winter,11.8,0,7905,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,83.6,0.0,11.8,1.7,3.6,0,0.056,0.475,150.0,0.472,73.7,0,100.11,53.2,71.2,0,3.5,0,7918
2021-01-28,East_Zone,Winter,14.8,0,9304,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,80.9,0.0,14.8,6.2,3.2,0,-0.056,0.526,150.0,0.492,74.6,0,101.41,51.3,62.2,0,3.5,0,9281
2021-01-29,East_Zone,Winter,12.7,0,9263,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,82.4,0.0,12.7,5.8,3.8,0,0.032,0.414,147.0,0.416,73.3,0,100.32,48.1,77.5,0,3.5,0,9350
2021-01-30,East_Zone,Winter,20.9,0,10193,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,77.6,0.0,20.9,2.9,3.8,0,0.099,0.451,140.0,0.468,75.1,0,99.72,55.6,65.3,0,3.5,0,10084
2021-01-31,East_Zone,Winter,18.7,0,8842,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,87.5,0.0,18.7,5.3,2.6,0,0.023,0.511,195.0,0.439,74.7,0,102.14,59.0,68.0,0,3.5,0,8848
2021-02-01,East_Zone,Winter,18.2,0,10394,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,75.0,0.0,18.2,7.3,3.4,0,0.033,0.46,151.0,0.476,75.6,0,100.02,54.7,72.4,0,3.5,0,10415
2021-02-02,East_Zone,Winter,17.6,0,9385,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,74.9,0.0,17.6,6.0,2.9,0,-0.087,0.3,155.0,0.452,73.3,0,99.18,54.9,78.9,0,3.5,0,9413
2021-02-03,East_Zone,Winter,6.1,0,6020,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,80.3,0.0,6.1,1.8,3.1,0,0.071,0.377,129.0,0.456,75.7,0,102.41,50.4,67.7,0,3.5,0,6095
2021-02-04,East_Zone,Winter,13.1,0,7497,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,83.2,0.0,13.1,5.2,2.9,0,-0.019,0.465,166.0,0.451,75.9,0,99.39,50.4,71.1,0,3.5,0,7508
2021-02-05,East_Zone,Winter,15.4,0,8506,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,84.4,0.0,15.4,4.6,3.8,0,-0.2,0.396,148.0,0.456,73.0,0,100.77,48.2,73.5,0,3.5,0,8536
2021-02-06,East_Zone,Winter,12.5,0,7284,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,79.9,1.1,12.5,6.6,3.4,0,0.083,0.506,158.0,0.421,73.8,0,100.09,52.0,68.6,0,3.5,0,7326
2021-02-07,East_Zone,Winter,12.9,0,9110,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,76.1,0.0,12.9,6.3,2.6,0,0.113,0.531,166.0,0.42,73.5,0,100.49,57.1,71.4,0,3.5,0,9083
2021-02-08,East_Zone,Winter,13.0,0,7842,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,76.1,0.0,13.0,4.8,3.1,0,0.148,0.385,148.0,0.45,70.3,0,103.47,51.6,64.0,0,3.5,0,7788
2021-02-09,East_Zone,Winter,13.6,0,8678,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,83.1,0.0,13.6,4.6,3.8,0,0.217,0.358,138.0,0.469,72.5,0,101.17,53.2,69.4,0,3.5,0,8646
2021-02-10,East_Zone,Winter,16.4,0,6656,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,81.9,0.0,16.4,6.2,4.3,0,0.077,0.398,108.0,0.403,76.3,0,101.66,56.5,78.2,0,3.5,0,6721
2021-02-11,East_Zone,Winter,18.1,0,10665,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,79.9,0.0,18.1,8.9,3.1,0,0.051,0.395,143.0,0.439,76.5,0,102.11,58.7,76.1,0,3.5,0,11018
2021-02-12,East_Zone,Winter,11.8,0,7184,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,77.6,0.0,11.8,6.8,2.7,0,0.109,0.512,138.0,0.481,75.0,0,100.7,46.7,69.8,0,3.5,0,7147
2021-02-13,East_Zone,Winter,13.6,0,7807,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,81.0,0.0,13.6,10.3,4.6,0,-0.089,0.358,129.0,0.411,71.0,0,102.45,52.1,66.9,0,3.5,0,7806
2021-02-14,East_Zone,Winter,15.7,0,7360,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,79.2,0.0,15.7,9.4,3.5,0,-0.167,0.465,176.0,0.446,76.9,0,101.77,50.8,70.9,0,3.5,0,7402
2021-02-15,East_Zone,Winter,11.6,0,9142,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,82.1,0.5,11.6,10.5,3.4,0,-0.048,0.503,168.0,0.484,79.6,0,102.18,50.4,64.7,0,3.5,0,9226
2021-02-16,East_Zone,Winter,12.2,0,9048,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,85.0,0.0,12.2,10.1,2.9,0,0.128,0.469,117.0,0.46,75.8,0,100.72,51.8,71.0,0,3.5,0,9068
2021-02-17,East_Zone,Winter,16.1,0,7569,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,79.5,0.0,16.1,10.7,3.7,0,-0.066,0.446,153.0,0.455,74.0,0,101.91,46.0,69.9,0,3.5,0,7764
2021-02-18,East_Zone,Winter,16.9,0,9132,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,81.3,0.0,16.9,2.5,4.6,0,0.047,0.41,135.0,0.413,71.4,0,101.49,52.1,69.8,0,3.5,0,8804
2021-02-19,East_Zone,Winter,13.6,0,8604,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,80.2,0.0,13.6,7.9,3.6,0,0.057,0.531,157.0,0.472,74.0,0,102.65,54.2,71.3,0,3.5,0,8610
2021-02-20,East_Zone,Winter,16.4,0,9672,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,79.6,0.0,16.4,9.7,4.2,0,0.024,0.405,136.0,0.429,72.5,0,101.0,49.2,74.7,0,3.5,0,9882
2021-02-21,East_Zone,Winter,18.5,0,9960,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,80.1,0.0,18.5,10.2,3.7,0,-0.128,0.477,140.0,0.449,73.4,0,103.59,52.5,66.8,0,3.5,0,10233
2021-02-22,East_Zone,Winter,10.9,0,7339,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,74.2,0.0,10.9,3.7,2.7,0,0.034,0.41,167.0,0.426,77.9,0,101.92,53.8,76.8,0,3.5,0,7595
2021-02-23,East_Zone,Winter,23.8,0,11536,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,72.1,0.0,23.8,8.0,3.5,0,-0.042,0.309,165.0,0.416,76.6,0,101.48,54.1,77.6,0,3.5,0,11600
2021-02-24,East_Zone,Winter,22.1,0,11643,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,72.4,0.0,22.1,6.2,3.2,0,0.17,0.404,177.0,0.415,73.0,0,101.38,47.0,83.0,0,3.5,0,11852
2021-02-25,East_Zone,Winter,15.7,0,9172,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,75.4,0.0,15.7,11.5,3.7,0,0.114,0.411,146.0,0.443,74.3,0,101.64,56.5,73.5,0,3.5,0,8982
2021-02-26,East_Zone,Winter,14.9,0,7332,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,77.7,0.0,14.9,1.8,4.2,0,-0.039,0.411,124.0,0.432,74.0,0,101.03,56.3,79.4,0,3.5,0,7404
2021-02-27,East_Zone,Winter,15.1,0,9732,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,86.4,0.0,15.1,3.7,3.6,0,0.177,0.38,167.0,0.407,72.7,0,102.35,51.0,76.9,0,3.5,0,9862
2021-02-28,East_Zone,Winter,13.2,0,8629,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,75.8,0.0,13.2,1.0,3.2,0,0.034,0.458,167.0,0.396,70.0,0,101.69,60.4,73.0,0,3.5,0,8602
2021-03-01,East_Zone,Summer,38.4,0,13873,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,45.8,0.0,47.3,6.4,9.2,0,-0.167,0.664,106.0,0.534,76.5,0,103.66,56.3,38.9,0,3.5,0,13977
2021-03-02,East_Zone,Summer,29.8,0,11800,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,37.7,0.0,29.2,12.8,9.5,0,-0.008,0.602,82.0,0.513,77.5,0,101.3,54.8,49.5,0,3.5,0,12110
2021-03-03,East_Zone,Summer,31.4,0,13985,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,43.5,0.0,32.0,5.9,8.6,0,0.164,0.601,76.0,0.466,72.2,0,101.63,56.4,46.2,0,3.5,0,14288
2021-03-04,East_Zone,Summer,40.8,0,14183,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,40.3,0.0,50.6,6.3,9.1,0,-0.082,0.557,105.0,0.5,72.0,0,101.33,49.4,53.9,0,3.5,1,14336
2021-03-05,East_Zone,Summer,36.2,0,13871,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,45.2,0.0,41.6,7.7,10.1,0,-0.007,0.635,79.0,0.468,76.7,0,103.65,53.0,48.7,0,3.5,0,13959
2021-03-06,East_Zone,Summer,29.9,0,12242,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,49.6,0.0,30.8,5.7,9.1,0,-0.136,0.703,89.0,0.507,72.0,0,100.35,55.6,50.3,0,3.5,1,12526
2021-03-07,East_Zone,Summer,32.0,0,13521,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,48.8,0.0,34.1,7.1,9.2,0,-0.12,0.703,147.0,0.5,69.8,0,101.91,50.6,42.1,0,3.5,1,13541
2021-03-08,East_Zone,Summer,37.4,0,15100,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,39.8,0.0,42.0,7.2,9.5,0,-0.083,0.584,133.0,0.478,72.7,0,102.14,52.4,46.2,0,3.5,1,15352
2021-03-09,East_Zone,Summer,41.9,0,15102,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,36.5,0.0,51.0,3.5,10.3,0,-0.123,0.739,109.0,0.544,78.1,0,100.71,55.7,35.4,0,3.5,0,15091
2021-03-10,East_Zone,Summer,37.2,1,16833,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,46.0,0.0,44.3,5.7,9.7,0,-0.062,0.598,83.0,0.477,72.4,0,104.5,56.0,59.8,0,3.5,1,17299
2021-03-11,East_Zone,Summer,33.4,0,11829,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,43.0,0.0,35.2,8.2,9.0,0,0.174,0.559,82.0,0.47,72.1,0,100.94,53.5,51.1,0,3.5,1,11833
2021-03-12,East_Zone,Summer,39.8,0,15071,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,33.7,3.4,44.5,8.8,9.3,0,-0.004,0.538,108.0,0.497,72.6,0,101.91,54.0,52.0,0,3.5,1,15003
2021-03-13,East_Zone,Summer,37.3,0,14640,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,36.0,0.0,40.3,9.9,9.5,0,0.079,0.555,122.0,0.481,70.5,0,103.58,53.7,43.2,0,3.5,1,14710
2021-03-14,East_Zone,Summer,38.4,0,14322,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,36.4,0.0,42.7,7.0,9.9,0,0.109,0.64,86.0,0.482,70.0,0,101.53,57.0,35.9,0,3.5,1,14175
2021-03-15,East_Zone,Summer,33.7,0,13685,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,46.3,0.0,36.6,7.1,9.4,0,-0.111,0.605,87.0,0.498,73.2,0,102.06,62.2,42.3,0,3.5,1,13908
2021-03-16,East_Zone,Summer,35.8,0,15535,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,43.2,0.0,39.9,8.3,9.5,0,-0.083,0.582,97.0,0.515,69.8,0,101.58,54.8,44.6,0,3.5,1,15352
2021-03-17,East_Zone,Summer,29.8,0,12166,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,49.6,0.0,30.7,4.2,9.3,0,0.077,0.569,70.0,0.514,72.8,0,101.88,58.9,47.0,0,3.5,1,12264
2021-03-18,East_Zone,Summer,48.1,0,17458,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,33.0,0.0,65.4,4.1,10.1,1,-0.063,0.555,71.0,0.439,74.8,0,103.02,52.5,34.9,0,3.5,0,17892
2021-03-19,East_Zone,Summer,36.5,0,15223,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,42.9,0.0,41.3,5.6,9.1,0,0.07,0.567,74.0,0.444,75.1,0,101.53,50.9,44.5,0,3.5,0,15398
2021-03-20,East_Zone,Summer,38.3,0,13719,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,44.1,0.0,46.2,2.2,10.3,0,0.168,0.681,105.0,0.54,73.6,0,99.3,49.6,39.8,0,3.5,0,13932
2021-03-21,East_Zone,Summer,33.5,0,13934,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,42.4,0.0,35.2,7.2,9.1,0,-0.146,0.728,100.0,0.513,70.4,0,101.93,50.1,52.2,0,3.5,1,14180
2021-03-22,East_Zone,Summer,37.7,0,13049,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,43.7,0.0,44.4,9.1,9.7,0,-0.036,0.732,115.0,0.457,72.8,0,102.03,52.6,33.3,0,3.5,1,13002
2021-03-23,East_Zone,Summer,39.2,0,14880,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,37.2,0.0,44.8,3.9,8.5,0,-0.02,0.661,64.0,0.483,75.0,0,102.17,57.4,50.1,0,3.5,0,15399
2021-03-24,East_Zone,Summer,33.9,0,12109,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,41.8,0.0,35.7,7.3,9.3,0,-0.053,0.59,68.0,0.474,75.9,0,101.8,57.7,44.2,0,3.5,0,12232
2021-03-25,East_Zone,Summer,38.1,0,13802,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,39.2,0.0,43.3,4.1,9.0,0,-0.061,0.58,103.0,0.476,73.2,0,101.12,51.4,34.8,0,3.5,1,13507
2021-03-26,East_Zone,Summer,31.4,0,10428,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,39.2,0.0,31.3,3.0,8.7,0,-0.049,0.665,79.0,0.529,71.9,0,101.74,52.4,53.4,0,3.5,1,10756
2021-03-27,East_Zone,Summer,30.5,0,13439,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,48.1,0.0,31.5,12.2,10.7,0,-0.002,0.605,81.0,0.463,74.2,0,103.76,54.5,51.8,0,3.5,0,13424
2021-03-28,East_Zone,Summer,31.5,0,12471,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,42.8,0.0,32.0,3.0,9.5,0,0.016,0.645,113.0,0.529,72.9,0,101.95,54.7,51.2,0,3.5,0,12681
2021-03-29,East_Zone,Summer,35.8,0,12706,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,42.6,0.0,39.7,2.2,10.3,0,0.095,0.736,85.0,0.533,70.9,0,102.65,56.4,45.5,0,3.5,1,12514
2021-03-30,East_Zone,Summer,30.1,0,12545,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,48.3,0.0,30.9,6.6,9.8,0,-0.003,0.633,87.0,0.46,74.9,0,100.96,51.8,41.6,0,3.5,1,12651
2021-03-31,East_Zone,Summer,33.2,0,13534,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,46.3,0.0,35.7,6.8,10.0,0,0.112,0.757,90.0,0.52,74.1,0,101.71,52.9,45.3,0,3.5,0,13599
2021-04-01,East_Zone,Summer,35.6,0,13352,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,46.0,0.0,40.5,8.0,9.4,0,-0.059,0.552,92.0,0.493,70.7,0,101.0,58.8,47.7,0,3.5,1,13315
2021-04-02,East_Zone,Summer,35.8,0,12578,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,42.0,0.0,39.5,12.0,10.5,0,-0.12,0.647,107.0,0.503,72.1,0,103.29,53.2,42.3,0,3.5,0,12393
2021-04-03,East_Zone,Summer,38.2,0,14583,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,39.0,0.0,43.4,3.7,10.2,0,-0.03,0.639,73.0,0.511,73.4,0,100.44,50.9,40.7,0,3.5,1,14640
2021-04-04,East_Zone,Summer,43.8,0,17003,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,37.3,0.0,56.8,4.3,10.0,0,0.046,0.561,92.0,0.463,69.4,0,102.37,53.6,47.5,0,3.5,1,17008
2021-04-05,East_Zone,Summer,37.3,0,14216,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,33.2,0.0,39.3,10.8,9.8,0,0.086,0.668,116.0,0.524,71.8,0,102.34,54.2,46.0,0,3.5,0,14107
2021-04-06,East_Zone,Summer,32.1,0,13774,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,37.5,0.0,32.0,8.8,9.3,0,0.146,0.712,133.0,0.506,75.9,0,102.27,47.7,49.6,0,3.5,0,13987
2021-04-07,East_Zone,Summer,34.1,0,14455,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,36.9,0.0,34.8,8.4,9.5,0,0.029,0.752,71.0,0.604,72.5,0,99.65,51.1,52.6,0,3.5,0,14796
2021-04-08,East_Zone,Summer,36.6,0,14477,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,37.1,0.0,39.3,4.2,9.6,0,0.075,0.645,101.0,0.462,71.6,0,99.96,54.7,49.3,0,3.5,0,14770
2021-04-09,East_Zone,Summer,37.4,0,13608,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,43.6,0.0,43.7,9.4,9.8,0,0.137,0.506,92.0,0.547,77.2,0,102.1,61.9,39.2,0,3.5,0,13449
2021-04-10,East_Zone,Summer,30.9,0,11882,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,40.9,0.0,30.9,8.4,10.3,0,-0.078,0.649,93.0,0.474,75.0,0,101.05,51.3,44.9,0,3.5,0,11987
