Date,Region,Political_Stability_Index,Plastic_Ban_Active,Economic_Index,Consumer_Confidence,Tourism_Index,Election_Period,Water_Tax_Rate,Govt_Subsidy_Active
2021-03-11,East_Zone,72.1,0,100.94,53.5,51.1,0,3.5,1
2021-03-12,East_Zone,72.6,0,101.91,54.0,52.0,0,3.5,1
2021-03-13,East_Zone,70.5,0,103.58,53.7,43.2,0,3.5,1
2021-03-14,East_Zone,70.0,0,101.53,57.0,35.9,0,3.5,1
2021-03-15,East_Zone,73.2,0,102.06,62.2,42.3,0,3.5,1
2021-03-16,East_Zone,69.8,0,101.58,54.8,44.6,0,3.5,1
2021-03-17,East_Zone,72.8,0,101.88,58.9,47.0,0,3.5,1
2021-03-18,East_Zone,74.8,0,103.02,52.5,34.9,0,3.5,0
2021-03-19,East_Zone,75.1,0,101.53,50.9,44.5,0,3.5,0
2021-03-20,East_Zone,73.6,0,99.3,49.6,39.8,0,3.5,0
2021-03-21,East_Zone,70.4,0,101.93,50.1,52.2,0,3.5,1
2021-03-22,East_Zone,72.8,0,102.03,52.6,33.3,0,3.5,1
2021-03-23,East_Zone,75.0,0,102.17,57.4,50.1,0,3.5,0
2021-03-24,East_Zone,75.9,0,101.8,57.7,44.2,0,3.5,0
2021-03-25,East_Zone,73.2,0,101.12,51.4,34.8,0,3.5,1
2021-03-26,East_Zone,71.9,0,101.74,52.4,53.4,0,3.5,1
2021-03-27,East_Zone,74.2,0,103.76,54.5,51.8,0,3.5,0
2021-03-28,East_Zone,72.9,0,101.95,54.7,51.2,0,3.5,0
2021-03-29,East_Zone,70.9,0,102.65,56.4,45.5,0,3.5,1
2021-03-30,East_Zone,74.9,0,100.96,51.8,41.6,0,3.5,1
2021-03-31,East_Zone,74.1,0,101.71,52.9,45.3,0,3.5,0
2021-04-01,East_Zone,70.7,0,101.0,58.8,47.7,0,3.5,1
2021-04-02,East_Zone,72.1,0,103.29,53.2,42.3,0,3.5,0
2021-04-03,East_Zone,73.4,0,100.44,50.9,40.7,0,3.5,1
2021-04-04,East_Zone,69.4,0,102.37,53.6,47.5,0,3.5,1
2021-04-05,East_Zone,71.8,0,102.34,54.2,46.0,0,3.5,0
2021-04-06,East_Zone,75.9,0,102.27,47.7,49.6,0,3.5,0
2021-04-07,East_Zone,72.5,0,99.65,51.1,52.6,0,3.5,0
2021-04-08,East_Zone,71.6,0,99.96,54.7,49.3,0,3.5,0
2021-04-09,East_Zone,77.2,0,102.1,61.9,39.2,0,3.5,0
2021-04-10,East_Zone,75.0,0,101.05,51.3,44.9,0,3.5,0
2021-04-11,East_Zone,76.1,0,101.33,56.6,46.9,0,3.5,1
2021-04-12,East_Zone,71.6,0,101.54,54.3,49.0,0,3.5,0
2021-04-13,East_Zone,73.1,0,100.91,58.0,49.3,0,3.5,0
2021-04-14,East_Zone,74.0,0,100.73,50.8,44.7,0,3.5,0
2021-04-15,East_Zone,74.7,0,101.94,58.2,42.5,0,3.5,1
2021-04-16,East_Zone,80.9,0,100.03,58.6,50.0,0,3.5,0
2021-04-17,East_Zone,74.3,0,101.42,59.3,46.9,0,3.5,0
2021-04-18,East_Zone,77.3,0,101.25,59.2,46.4,0,3.5,1
2021-04-19,East_Zone,80.9,0,101.88,54.5,41.5,0,3.5,0
2021-04-20,East_Zone,79.1,0,104.28,57.1,55.5,0,3.5,1
2021-04-21,East_Zone,74.5,0,100.9,51.7,46.2,0,3.5,0
2021-04-22,East_Zone,77.4,0,102.28,45.0,44.6,0,3.5,0
2021-04-23,East_Zone,74.4,0,102.08,54.9,46.2,0,3.5,0
2021-04-24,East_Zone,73.9,0,102.41,53.3,44.3,0,3.5,0
2021-04-25,East_Zone,76.5,0,101.62,57.5,38.6,0,3.5,0
2021-04-26,East_Zone,76.7,0,103.26,57.8,46.5,0,3.5,0
2021-04-27,East_Zone,75.5,0,102.49,49.7,37.7,0,3.5,1
2021-04-28,East_Zone,73.5,0,102.49,63.4,45.5,0,3.5,0
2021-04-29,East_Zone,72.6,0,100.36,54.7,37.0,0,3.5,0
2021-04-30,East_Zone,70.4,0,101.86,48.6,34.2,0,3.5,1
2021-05-01,East_Zone,74.5,0,101.23,48.9,48.1,0,3.5,1
2021-05-02,East_Zone,74.7,0,100.86,44.6,39.5,0,3.5,0
2021-05-03,East_Zone,76.5,0,101.08,56.5,47.2,0,3.5,0
2021-05-04,East_Zone,69.6,0,101.63,51.5,45.8,0,3.5,1
2021-05-05,East_Zone,74.3,0,102.13,50.5,45.7,0,3.5,0
2021-05-06,East_Zone,73.4,0,102.63,51.5,41.9,0,3.5,1
2021-05-07,East_Zone,73.8,0,102.57,52.8,44.3,0,3.5,0
2021-05-08,East_Zone,77.7,0,101.91,56.1,41.7,0,3.5,1
2021-05-09,East_Zone,77.8,0,101.65,47.1,49.7,0,3.5,0
2021-05-10,East_Zone,77.0,0,101.25,49.2,42.6,0,3.5,1
2021-05-11,East_Zone,74.3,0,101.3,55.4,43.8,0,3.5,1
2021-05-12,East_Zone,73.4,0,100.75,50.9,48.7,0,3.5,1
2021-05-13,East_Zone,77.6,0,101.08,55.8,41.9,0,3.5,0
2021-05-14,East_Zone,79.1,0,101.84,51.7,36.0,0,3.5,1
2021-05-15,East_Zone,78.8,0,103.0,60.5,39.7,0,3.5,0
2021-05-16,East_Zone,75.5,0,101.29,54.4,50.3,0,3.5,0
2021-05-17,East_Zone,74.1,0,100.6,58.1,45.4,0,3.5,0
2021-05-18,East_Zone,76.1,0,102.36,56.0,46.5,0,3.5,1
2021-05-19,East_Zone,76.3,0,99.36,55.1,46.5,0,3.5,1
2021-05-20,East_Zone,72.8,0,102.38,50.9,53.9,0,3.5,0
2021-05-21,East_Zone,73.4,0,99.88,57.6,34.6,0,3.5,0
2021-05-22,East_Zone,83.1,0,101.94,54.6,44.4,0,3.5,1
2021-05-23,East_Zone,72.8,0,100.78,49.5,45.2,0,3.5,0
2021-05-24,East_Zone,76.6,0,101.55,45.2,44.9,0,3.5,1
2021-05-25,East_Zone,72.5,0,103.29,54.9,49.0,0,3.5,1
2021-05-26,East_Zone,73.6,0,100.34,59.2,49.1,0,3.5,0
2021-05-27,East_Zone,71.2,0,100.15,49.4,43.9,0,3.5,1
2021-05-28,East_Zone,71.2,0,101.2,49.7,36.6,0,3.5,1
2021-05-29,East_Zone,75.9,0,102.62,52.8,57.5,0,3.5,1
2021-05-30,East_Zone,75.5,0,101.24,57.9,45.0,0,3.5,1
2021-05-31,East_Zone,79.5,0,101.08,46.1,45.4,0,3.5,0
2021-06-01,East_Zone,74.1,0,101.17,50.9,40.3,0,3.5,0
2021-06-02,East_Zone,74.5,0,99.97,49.0,32.0,0,3.5,0
2021-06-03,East_Zone,73.9,0,101.12,55.7,40.5,0,3.5,0
2021-06-04,East_Zone,71.1,0,100.52,52.6,32.5,0,3.5,0
2021-06-05,East_Zone,75.8,0,102.2,52.5,43.1,0,3.5,0
2021-06-06,East_Zone,73.5,0,101.65,52.9,36.3,0,3.5,0
2021-06-07,East_Zone,69.7,0,99.49,55.9,30.6,0,3.5,0
2021-06-08,East_Zone,77.3,0,100.5,57.7,44.9,0,3.5,0
2021-06-09,East_Zone,72.3,0,101.28,57.6,37.0,0,3.5,0
2021-06-10,East_Zone,75.0,0,99.74,55.2,31.0,0,3.5,0
2021-06-11,East_Zone,75.1,0,99.61,58.4,27.0,0,3.5,0
2021-06-12,East_Zone,74.6,0,100.2,49.4,37.5,0,3.5,0
2021-06-13,East_Zone,71.0,0,100.97,54.9,40.9,0,3.5,0
2021-06-14,East_Zone,78.2,0,101.63,63.0,35.9,0,3.5,0
2021-06-15,East_Zone,71.8,0,100.79,46.0,35.7,0,3.5,0
2021-06-16,East_Zone,66.6,0,102.99,52.1,41.8,0,3.5,0
2021-06-17,East_Zone,76.5,0,99.82,48.8,37.0,0,3.5,0
2021-06-18,East_Zone,76.4,0,101.2,54.6,30.7,0,3.5,0
2021-06-19,East_Zone,70.4,0,99.32,58.5,30.9,0,3.5,0
2021-06-20,East_Zone,74.0,0,102.0,56.0,36.8,0,3.5,0
2021-06-21,East_Zone,77.2,0,101.72,52.8,36.5,0,3.5,0
2021-06-22,East_Zone,78.2,0,101.04,55.6,39.4,0,3.5,0
2021-06-23,East_Zone,75.8,0,98.56,51.3,35.8,0,3.5,0
2021-06-24,East_Zone,76.5,0,100.96,54.2,37.4,0,3.5,0
2021-06-25,East_Zone,76.2,0,99.4,55.2,35.7,0,3.5,0
2021-06-26,East_Zone,73.6,0,100.64,60.3,38.8,0,3.5,0
2021-06-27,East_Zone,70.7,0,98.7,54.3,37.7,0,3.5,0
2021-06-28,East_Zone,73.2,0,100.39,54.0,32.7,0,3.5,0
2021-06-29,East_Zone,77.4,0,99.73,61.0,33.1,0,3.5,0
2021-06-30,East_Zone,77.3,0,99.27,44.9,35.6,0,3.5,0
2021-07-01,East_Zone,74.6,0,100.61,52.9,34.6,0,3.5,0
2021-07-02,East_Zone,73.0,0,99.93,50.0,40.6,0,3.5,0
2021-07-03,East_Zone,79.2,0,99.74,51.9,35.1,0,3.5,0
2021-07-04,East_Zone,74.4,0,100.65,55.7,26.9,0,3.5,0
2021-07-05,East_Zone,75.9,0,101.78,57.6,28.1,0,3.5,0
2021-07-06,East_Zone,70.4,0,100.12,51.0,32.8,0,3.5,0
2021-07-07,East_Zone,73.8,0,98.0,54.9,37.6,0,3.5,0
2021-07-08,East_Zone,77.3,0,98.22,48.7,30.4,0,3.5,0
2021-07-09,East_Zone,69.9,0,99.81,47.8,37.3,0,3.5,0
2021-07-10,East_Zone,73.9,0,100.73,53.6,30.2,0,3.5,0
2021-07-11,East_Zone,75.2,0,99.81,52.0,34.8,0,3.5,0
2021-07-12,East_Zone,78.3,0,100.15,59.0,36.1,0,3.5,0
2021-07-13,East_Zone,76.9,0,99.55,61.3,28.3,0,3.5,0
2021-07-14,East_Zone,79.1,0,100.54,50.8,36.0,0,3.5,0
2021-07-15,East_Zone,76.5,0,100.16,45.8,42.1,0,3.5,0
2021-07-16,East_Zone,76.7,0,98.49,46.9,33.0,0,3.5,0
2021-07-17,East_Zone,71.1,0,99.92,49.6,34.4,0,3.5,0
2021-07-18,East_Zone,71.0,0,97.9,53.0,35.3,0,3.5,0
2021-07-19,East_Zone,79.0,0,99.85,51.9,34.5,0,3.5,0
2021-07-20,East_Zone,72.6,0,99.09,47.6,34.1,0,3.5,0
2021-07-21,East_Zone,72.4,0,99.5,59.9,33.7,0,3.5,0
2021-07-22,East_Zone,67.1,0,99.63,55.5,26.2,0,3.5,0
2021-07-23,East_Zone,77.2,0,99.56,59.9,36.3,0,3.5,0
2021-07-24,East_Zone,70.6,0,100.66,46.1,28.6,0,3.5,0
2021-07-25,East_Zone,71.5,0,99.25,57.8,35.9,0,3.5,0
2021-07-26,East_Zone,77.3,0,99.37,52.2,37.5,0,3.5,0
2021-07-27,East_Zone,67.4,0,100.48,51.6,36.0,0,3.5,0
2021-07-28,East_Zone,78.1,0,101.02,53.5,29.6,0,3.5,0
2021-07-29,East_Zone,71.5,0,99.07,49.8,35.6,0,3.5,0
2021-07-30,East_Zone,73.6,0,98.55,51.8,32.9,0,3.5,0
2021-07-31,East_Zone,71.7,0,98.56,56.2,31.1,0,3.5,0
2021-08-01,East_Zone,70.0,0,99.45,44.9,44.3,0,3.5,0
2021-08-02,East_Zone,71.7,0,98.76,58.5,29.5,0,3.5,0
2021-08-03,East_Zone,71.5,0,97.19,53.4,36.5,0,3.5,0
2021-08-04,East_Zone,70.3,0,100.03,52.6,41.6,0,3.5,0
2021-08-05,East_Zone,78.6,0,99.7,56.6,35.9,0,3.5,0
2021-08-06,East_Zone,71.1,0,100.0,54.5,30.9,0,3.5,0
2021-08-07,East_Zone,68.3,0,100.17,51.1,31.2,0,3.5,0
2021-08-08,East_Zone,67.8,0,98.99,49.5,27.0,0,3.5,0
2021-08-09,East_Zone,75.3,0,99.03,58.6,34.5,0,3.5,0
2021-08-10,East_Zone,68.8,0,99.75,47.0,34.7,0,3.5,0
2021-08-11,East_Zone,73.5,0,97.5,51.2,32.7,0,3.5,0
2021-08-12,East_Zone,79.9,0,98.34,46.7,41.1,0,3.5,0
2021-08-13,East_Zone,74.5,0,98.6,54.4,33.8,0,3.5,0
2021-08-14,East_Zone,75.0,0,99.56,52.4,26.2,0,3.5,0
2021-08-15,East_Zone,72.4,0,98.07,47.2,41.6,0,3.5,0
2021-08-16,East_Zone,74.0,0,97.88,48.7,28.3,0,3.5,0
2021-08-17,East_Zone,73.4,0,98.13,52.4,36.7,0,3.5,0
2021-08-18,East_Zone,74.9,0,99.01,53.7,37.4,0,3.5,0
2021-08-19,East_Zone,79.0,0,98.45,44.6,33.8,0,3.5,0
2021-08-20,East_Zone,72.7,0,97.04,49.0,38.9,0,3.5,0
2021-08-21,East_Zone,71.6,0,97.22,52.5,34.6,0,3.5,0
2021-08-22,East_Zone,73.8,0,98.59,57.3,32.4,0,3.5,0
2021-08-23,East_Zone,76.9,0,98.6,55.8,23.8,0,3.5,0
2021-08-24,East_Zone,73.0,0,98.44,50.6,25.6,0,3.5,0
2021-08-25,East_Zone,74.8,0,97.92,56.2,48.0,0,3.5,0
2021-08-26,East_Zone,75.5,0,99.15,51.4,37.9,0,3.5,0
2021-08-27,East_Zone,80.5,0,98.72,40.0,40.5,0,3.5,0
2021-08-28,East_Zone,76.8,0,98.66,58.2,46.8,0,3.5,0
2021-08-29,East_Zone,71.4,0,98.68,54.3,32.4,0,3.5,0
2021-08-30,East_Zone,67.4,0,99.89,53.7,33.5,0,3.5,0
2021-08-31,East_Zone,74.5,0,97.25,51.9,26.0,0,3.5,0
2021-09-01,East_Zone,71.9,0,97.84,53.3,58.8,0,3.5,0
2021-09-02,East_Zone,72.5,0,97.9,52.2,58.7,0,3.5,0
2021-09-03,East_Zone,71.0,0,99.48,51.6,58.3,0,3.5,0
2021-09-04,East_Zone,72.5,0,97.83,49.5,65.5,0,3.5,0
2021-09-05,East_Zone,72.4,0,97.4,52.3,63.8,0,3.5,0
2021-09-06,East_Zone,73.7,0,98.07,48.7,64.8,0,3.5,0
2021-09-07,East_Zone,72.0,0,98.27,47.7,54.1,0,3.5,0
2021-09-08,East_Zone,71.8,0,99.35,53.8,60.4,0,3.5,0
2021-09-09,East_Zone,75.6,0,97.76,56.0,62.0,0,3.5,0
2021-09-10,East_Zone,74.0,0,97.44,48.8,69.6,0,3.5,0
2021-09-11,East_Zone,74.0,0,97.2,49.4,60.8,0,3.5,0
2021-09-12,East_Zone,73.9,0,97.76,45.3,59.4,0,3.5,0
2021-09-13,East_Zone,71.3,0,100.66,48.0,65.7,0,3.5,0
2021-09-14,East_Zone,78.3,0,98.46,47.3,59.0,0,3.5,0
2021-09-15,East_Zone,80.1,0,98.67,56.4,62.6,0,3.5,0
2021-09-16,East_Zone,77.7,0,98.06,45.3,62.4,0,3.5,0
2021-09-17,East_Zone,68.7,0,98.19,54.1,57.6,0,3.5,0
2021-09-18,East_Zone,72.0,0,98.83,51.5,56.8,0,3.5,0
2021-09-19,East_Zone,76.1,0,98.6,54.9,59.8,0,3.5,0
2021-09-20,East_Zone,71.7,0,98.38,57.0,57.8,0,3.5,0
2021-09-21,East_Zone,71.9,0,98.04,52.1,52.5,0,3.5,0
2021-09-22,East_Zone,69.9,0,97.67,56.6,63.6,0,3.5,0
2021-09-23,East_Zone,72.9,0,98.44,58.6,62.9,0,3.5,0
2021-09-24,East_Zone,71.5,0,98.1,57.6,56.3,0,3.5,0
2021-09-25,East_Zone,66.8,0,100.14,50.4,55.8,0,3.5,0
2021-09-26,East_Zone,77.5,0,99.06,44.7,62.4,0,3.5,0
2021-09-27,East_Zone,75.3,0,97.33,51.4,68.8,0,3.5,0
2021-09-28,East_Zone,70.0,0,96.83,52.4,65.1,0,3.5,0
2021-09-29,East_Zone,76.6,0,97.6,44.2,66.0,0,3.5,0
2021-09-30,East_Zone,74.4,0,96.92,52.0,58.5,0,3.5,0
2021-10-01,East_Zone,77.5,0,97.54,41.7,62.1,0,3.5,0
2021-10-02,East_Zone,76.2,0,97.03,58.0,59.3,0,3.5,0
2021-10-03,East_Zone,71.7,0,97.67,54.0,56.4,0,3.5,0
2021-10-04,East_Zone,76.0,0,97.69,48.8,61.0,0,3.5,0
2021-10-05,East_Zone,76.1,0,98.15,52.8,55.7,0,3.5,0
2021-10-06,East_Zone,77.2,0,97.8,53.1,56.3,0,3.5,0
2021-10-07,East_Zone,77.0,0,97.11,53.8,69.8,0,3.5,0
2021-10-08,East_Zone,80.2,0,99.23,53.0,58.3,0,3.5,0
2021-10-09,East_Zone,76.9,0,98.42,56.1,71.9,0,3.5,0
2021-10-10,East_Zone,71.6,0,97.48,46.9,49.7,0,3.5,0
2021-10-11,East_Zone,74.5,0,97.14,51.3,67.3,0,3.5,0
2021-10-12,East_Zone,70.9,0,96.57,58.8,67.9,0,3.5,0
2021-10-13,East_Zone,77.6,0,96.5,50.2,60.0,0,3.5,0
2021-10-14,East_Zone,71.4,0,99.1,53.6,62.8,0,3.5,0
2021-10-15,East_Zone,80.7,0,99.0,48.6,62.1,0,3.5,0
2021-10-16,East_Zone,73.1,0,97.48,60.6,59.5,0,3.5,0
2021-10-17,East_Zone,73.9,0,99.44,53.9,55.6,0,3.5,0
2021-10-18,East_Zone,72.6,0,98.7,47.4,57.3,0,3.5,0
2021-10-19,East_Zone,71.8,0,98.3,56.7,69.8,0,3.5,0
2021-10-20,East_Zone,72.4,0,98.97,48.3,57.3,0,3.5,0
2021-10-21,East_Zone,74.7,0,98.74,55.2,68.6,0,3.5,0
2021-10-22,East_Zone,74.1,0,98.29,56.4,57.9,0,3.5,0
2021-10-23,East_Zone,72.7,0,97.9,60.3,58.4,0,3.5,0
2021-10-24,East_Zone,74.9,0,98.05,53.1,72.4,0,3.5,0
2021-10-25,East_Zone,72.4,0,96.56,51.8,59.1,0,3.5,0
2021-10-26,East_Zone,74.0,0,97.39,43.8,67.3,0,3.5,0
2021-10-27,East_Zone,79.3,0,100.0,51.2,59.9,0,3.5,0
2021-10-28,East_Zone,72.3,0,97.39,49.1,52.6,0,3.5,0
2021-10-29,East_Zone,73.1,0,96.38,50.8,73.8,0,3.5,0
2021-10-30,East_Zone,70.5,0,99.15,50.6,61.1,0,3.5,0
2021-10-31,East_Zone,73.0,0,98.51,55.5,63.6,0,3.5,0
2021-11-01,East_Zone,75.1,0,98.59,50.2,57.5,0,3.5,0
2021-11-02,East_Zone,72.4,0,98.14,54.2,63.7,0,3.5,0
2021-11-03,East_Zone,70.6,0,99.23,52.2,74.2,0,3.5,0
2021-11-04,East_Zone,75.1,0,99.87,50.5,60.6,0,3.5,0
2021-11-05,East_Zone,75.4,0,97.84,49.3,69.9,0,3.5,0
2021-11-06,East_Zone,75.8,0,99.01,53.5,62.4,0,3.5,0
2021-11-07,East_Zone,70.3,0,99.52,58.3,69.7,0,3.5,0
2021-11-08,East_Zone,78.1,0,97.84,49.2,67.7,0,3.5,0
2021-11-09,East_Zone,72.5,0,99.95,53.2,62.6,0,3.5,0
2021-11-10,East_Zone,71.0,0,99.58,54.8,68.9,0,3.5,0
2021-11-11,East_Zone,77.1,0,97.24,51.8,62.7,0,3.5,0
2021-11-12,East_Zone,78.0,0,100.1,46.0,58.5,0,3.5,0
2021-11-13,East_Zone,73.1,0,97.34,53.9,58.5,0,3.5,0
2021-11-14,East_Zone,71.5,0,97.87,46.1,50.6,0,3.5,0
2021-11-15,East_Zone,75.3,0,99.26,46.7,60.8,0,3.5,0
2021-11-16,East_Zone,70.0,0,99.64,47.6,58.1,0,3.5,0
2021-11-17,East_Zone,81.7,0,98.72,51.8,62.0,0,3.5,0
2021-11-18,East_Zone,70.9,0,98.02,48.4,56.2,0,3.5,0
2021-11-19,East_Zone,75.1,0,98.42,46.6,66.9,0,3.5,0
2021-11-20,East_Zone,73.5,0,98.32,53.8,64.5,0,3.5,0
2021-11-21,East_Zone,71.2,0,99.57,52.7,56.4,0,3.5,0
2021-11-22,East_Zone,71.2,0,98.35,55.4,56.3,0,3.5,0
2021-11-23,East_Zone,77.4,0,98.13,49.3,64.3,0,3.5,0
2021-11-24,East_Zone,75.1,0,97.33,51.7,50.2,0,3.5,0
2021-11-25,East_Zone,71.9,0,98.24,55.5,63.0,0,3.5,0
2021-11-26,East_Zone,72.3,0,98.75,47.2,50.8,0,3.5,0
2021-11-27,East_Zone,71.6,0,97.76,49.5,80.2,0,3.5,0
2021-11-28,East_Zone,76.6,0,97.18,55.8,63.3,0,3.5,0
2021-11-29,East_Zone,76.8,0,99.93,53.1,50.8,0,3.5,0
2021-11-30,East_Zone,75.6,0,97.98,51.6,58.1,0,3.5,0
2021-12-01,East_Zone,74.8,0,97.7,51.9,73.6,0,3.5,0
2021-12-02,East_Zone,75.9,0,100.61,58.1,62.1,0,3.5,0
2021-12-03,East_Zone,69.1,0,99.92,52.9,71.8,0,3.5,0
2021-12-04,East_Zone,74.8,0,100.13,53.2,74.4,0,3.5,0
2021-12-05,East_Zone,77.2,0,99.64,52.8,61.7,0,3.5,0
2021-12-06,East_Zone,74.7,0,100.48,46.7,75.7,0,3.5,0
2021-12-07,East_Zone,74.2,0,100.08,55.0,71.4,0,3.5,0
2021-12-08,East_Zone,72.1,0,98.88,49.3,76.6,0,3.5,0
2021-12-09,East_Zone,72.3,0,98.2,47.2,70.8,0,3.5,0
2021-12-10,East_Zone,72.4,0,98.01,45.2,66.7,0,3.5,0
2021-12-11,East_Zone,74.7,0,99.19,46.5,66.2,0,3.5,0
2021-12-12,East_Zone,72.5,0,98.26,43.2,70.4,0,3.5,0
2021-12-13,East_Zone,68.5,0,98.59,48.3,71.1,0,3.5,0
2021-12-14,East_Zone,76.4,0,99.27,51.0,77.3,0,3.5,0
2021-12-15,East_Zone,75.6,0,100.85,57.6,70.6,0,3.5,0
2021-12-16,East_Zone,75.1,0,97.98,52.4,64.2,0,3.5,0
2021-12-17,East_Zone,71.2,0,99.55,53.8,69.7,0,3.5,0
2021-12-18,East_Zone,72.5,0,98.3,57.4,64.4,0,3.5,0
2021-12-19,East_Zone,75.6,0,99.03,41.2,73.7,0,3.5,0
2021-12-20,East_Zone,74.1,0,100.55,54.8,74.9,0,3.5,0
