Date,Region,Climate_Zone,Temp_Anomaly_C,Drought_Index,Air_Quality_Index,Water_Stress_Index
2021-02-17,East_Zone,Humid_Subtropical,-0.066,0.446,153.0,0.455
2021-02-18,East_Zone,Humid_Subtropical,0.047,0.41,135.0,0.413
2021-02-19,East_Zone,Humid_Subtropical,0.057,0.531,157.0,0.472
2021-02-20,East_Zone,Humid_Subtropical,0.024,0.405,136.0,0.429
2021-02-21,East_Zone,Humid_Subtropical,-0.128,0.477,140.0,0.449
2021-02-22,East_Zone,Humid_Subtropical,0.034,0.41,167.0,0.426
2021-02-23,East_Zone,Humid_Subtropical,-0.042,0.309,165.0,0.416
2021-02-24,East_Zone,Humid_Subtropical,0.17,0.404,177.0,0.415
2021-02-25,East_Zone,Humid_Subtropical,0.114,0.411,146.0,0.443
2021-02-26,East_Zone,Humid_Subtropical,-0.039,0.411,124.0,0.432
2021-02-27,East_Zone,Humid_Subtropical,0.177,0.38,167.0,0.407
2021-02-28,East_Zone,Humid_Subtropical,0.034,0.458,167.0,0.396
2021-03-01,East_Zone,Humid_Subtropical,-0.167,0.664,106.0,0.534
2021-03-02,East_Zone,Humid_Subtropical,-0.008,0.602,82.0,0.513
2021-03-03,East_Zone,Humid_Subtropical,0.164,0.601,76.0,0.466
2021-03-04,East_Zone,Humid_Subtropical,-0.082,0.557,105.0,0.5
2021-03-05,East_Zone,Humid_Subtropical,-0.007,0.635,79.0,0.468
2021-03-06,East_Zone,Humid_Subtropical,-0.136,0.703,89.0,0.507
2021-03-07,East_Zone,Humid_Subtropical,-0.12,0.703,147.0,0.5
2021-03-08,East_Zone,Humid_Subtropical,-0.083,0.584,133.0,0.478
2021-03-09,East_Zone,Humid_Subtropical,-0.123,0.739,109.0,0.544
2021-03-10,East_Zone,Humid_Subtropical,-0.062,0.598,83.0,0.477
2021-03-11,East_Zone,Humid_Subtropical,0.174,0.559,82.0,0.47
2021-03-12,East_Zone,Humid_Subtropical,-0.004,0.538,108.0,0.497
2021-03-13,East_Zone,Humid_Subtropical,0.079,0.555,122.0,0.481
2021-03-14,East_Zone,Humid_Subtropical,0.109,0.64,86.0,0.482
2021-03-15,East_Zone,Humid_Subtropical,-0.111,0.605,87.0,0.498
2021-03-16,East_Zone,Humid_Subtropical,-0.083,0.582,97.0,0.515
2021-03-17,East_Zone,Humid_Subtropical,0.077,0.569,70.0,0.514
2021-03-18,East_Zone,Humid_Subtropical,-0.063,0.555,71.0,0.439
2021-03-19,East_Zone,Humid_Subtropical,0.07,0.567,74.0,0.444
2021-03-20,East_Zone,Humid_Subtropical,0.168,0.681,105.0,0.54
2021-03-21,East_Zone,Humid_Subtropical,-0.146,0.728,100.0,0.513
2021-03-22,East_Zone,Humid_Subtropical,-0.036,0.732,115.0,0.457
2021-03-23,East_Zone,Humid_Subtropical,-0.02,0.661,64.0,0.483
2021-03-24,East_Zone,Humid_Subtropical,-0.053,0.59,68.0,0.474
2021-03-25,East_Zone,Humid_Subtropical,-0.061,0.58,103.0,0.476
2021-03-26,East_Zone,Humid_Subtropical,-0.049,0.665,79.0,0.529
2021-03-27,East_Zone,Humid_Subtropical,-0.002,0.605,81.0,0.463
2021-03-28,East_Zone,Humid_Subtropical,0.016,0.645,113.0,0.529
2021-03-29,East_Zone,Humid_Subtropical,0.095,0.736,85.0,0.533
2021-03-30,East_Zone,Humid_Subtropical,-0.003,0.633,87.0,0.46
2021-03-31,East_Zone,Humid_Subtropical,0.112,0.757,90.0,0.52
2021-04-01,East_Zone,Humid_Subtropical,-0.059,0.552,92.0,0.493
2021-04-02,East_Zone,Humid_Subtropical,-0.12,0.647,107.0,0.503
2021-04-03,East_Zone,Humid_Subtropical,-0.03,0.639,73.0,0.511
2021-04-04,East_Zone,Humid_Subtropical,0.046,0.561,92.0,0.463
2021-04-05,East_Zone,Humid_Subtropical,0.086,0.668,116.0,0.524
2021-04-06,East_Zone,Humid_Subtropical,0.146,0.712,133.0,0.506
2021-04-07,East_Zone,Humid_Subtropical,0.029,0.752,71.0,0.604
2021-04-08,East_Zone,Humid_Subtropical,0.075,0.645,101.0,0.462
2021-04-09,East_Zone,Humid_Subtropical,0.137,0.506,92.0,0.547
2021-04-10,East_Zone,Humid_Subtropical,-0.078,0.649,93.0,0.474
2021-04-11,East_Zone,Humid_Subtropical,-0.021,0.665,81.0,0.544
2021-04-12,East_Zone,Humid_Subtropical,0.277,0.606,109.0,0.516
2021-04-13,East_Zone,Humid_Subtropical,0.086,0.633,108.0,0.471
2021-04-14,East_Zone,Humid_Subtropical,0.051,0.591,140.0,0.506
2021-04-15,East_Zone,Humid_Subtropical,0.089,0.612,71.0,0.478
2021-04-16,East_Zone,Humid_Subtropical,-0.134,0.681,64.0,0.518
2021-04-17,East_Zone,Humid_Subtropical,-0.065,0.703,132.0,0.52
2021-04-18,East_Zone,Humid_Subtropical,-0.101,0.544,94.0,0.466
2021-04-19,East_Zone,Humid_Subtropical,0.042,0.589,87.0,0.474
2021-04-20,East_Zone,Humid_Subtropical,-0.037,0.525,98.0,0.481
2021-04-21,East_Zone,Humid_Subtropical,0.01,0.73,70.0,0.495
2021-04-22,East_Zone,Humid_Subtropical,-0.031,0.672,102.0,0.482
2021-04-23,East_Zone,Humid_Subtropical,-0.163,0.5,94.0,0.494
2021-04-24,East_Zone,Humid_Subtropical,0.088,0.616,114.0,0.507
2021-04-25,East_Zone,Humid_Subtropical,-0.176,0.603,110.0,0.452
2021-04-26,East_Zone,Humid_Subtropical,-0.073,0.575,112.0,0.454
2021-04-27,East_Zone,Humid_Subtropical,-0.132,0.682,98.0,0.446
2021-04-28,East_Zone,Humid_Subtropical,-0.088,0.681,124.0,0.538
2021-04-29,East_Zone,Humid_Subtropical,0.02,0.636,105.0,0.52
2021-04-30,East_Zone,Humid_Subtropical,0.124,0.582,85.0,0.453
2021-05-01,East_Zone,Humid_Subtropical,-0.156,0.582,80.0,0.505
2021-05-02,East_Zone,Humid_Subtropical,-0.056,0.623,82.0,0.555
2021-05-03,East_Zone,Humid_Subtropical,-0.175,0.593,106.0,0.442
2021-05-04,East_Zone,Humid_Subtropical,-0.061,0.62,71.0,0.477
2021-05-05,East_Zone,Humid_Subtropical,0.007,0.653,98.0,0.456
2021-05-06,East_Zone,Humid_Subtropical,0.077,0.528,80.0,0.5
2021-05-07,East_Zone,Humid_Subtropical,-0.212,0.575,72.0,0.481
2021-05-08,East_Zone,Humid_Subtropical,0.055,0.618,75.0,0.483
2021-05-09,East_Zone,Humid_Subtropical,-0.097,0.714,95.0,0.525
2021-05-10,East_Zone,Humid_Subtropical,-0.122,0.671,109.0,0.491
2021-05-11,East_Zone,Humid_Subtropical,0.007,0.62,83.0,0.483
2021-05-12,East_Zone,Humid_Subtropical,0.063,0.644,58.0,0.509
2021-05-13,East_Zone,Humid_Subtropical,-0.01,0.614,152.0,0.475
2021-05-14,East_Zone,Humid_Subtropical,-0.109,0.685,115.0,0.497
2021-05-15,East_Zone,Humid_Subtropical,-0.01,0.646,112.0,0.497
2021-05-16,East_Zone,Humid_Subtropical,-0.073,0.697,124.0,0.517
2021-05-17,East_Zone,Humid_Subtropical,0.06,0.539,97.0,0.493
2021-05-18,East_Zone,Humid_Subtropical,0.108,0.572,93.0,0.5
2021-05-19,East_Zone,Humid_Subtropical,0.101,0.636,119.0,0.454
2021-05-20,East_Zone,Humid_Subtropical,-0.002,0.65,119.0,0.545
2021-05-21,East_Zone,Humid_Subtropical,0.112,0.764,106.0,0.533
2021-05-22,East_Zone,Humid_Subtropical,-0.102,0.512,111.0,0.458
2021-05-23,East_Zone,Humid_Subtropical,0.178,0.618,73.0,0.467
2021-05-24,East_Zone,Humid_Subtropical,-0.103,0.615,90.0,0.553
2021-05-25,East_Zone,Humid_Subtropical,-0.203,0.634,126.0,0.569
2021-05-26,East_Zone,Humid_Subtropical,0.137,0.724,109.0,0.577
2021-05-27,East_Zone,Humid_Subtropical,-0.071,0.673,69.0,0.512
2021-05-28,East_Zone,Humid_Subtropical,0.012,0.524,85.0,0.481
2021-05-29,East_Zone,Humid_Subtropical,-0.103,0.712,123.0,0.563
2021-05-30,East_Zone,Humid_Subtropical,0.236,0.71,103.0,0.51
2021-05-31,East_Zone,Humid_Subtropical,0.182,0.636,98.0,0.515
2021-06-01,East_Zone,Humid_Subtropical,0.155,0.0,64.0,0.347
2021-06-02,East_Zone,Humid_Subtropical,0.009,0.071,58.0,0.415
2021-06-03,East_Zone,Humid_Subtropical,0.098,0.108,51.0,0.41
2021-06-04,East_Zone,Humid_Subtropical,-0.005,0.14,45.0,0.371
2021-06-05,East_Zone,Humid_Subtropical,0.112,0.0,78.0,0.386
2021-06-06,East_Zone,Humid_Subtropical,-0.041,0.034,64.0,0.348
2021-06-07,East_Zone,Humid_Subtropical,0.158,0.146,73.0,0.36
2021-06-08,East_Zone,Humid_Subtropical,-0.046,0.17,70.0,0.374
2021-06-09,East_Zone,Humid_Subtropical,-0.035,0.106,85.0,0.371
2021-06-10,East_Zone,Humid_Subtropical,-0.047,0.149,68.0,0.354
2021-06-11,East_Zone,Humid_Subtropical,0.019,0.107,75.0,0.351
2021-06-12,East_Zone,Humid_Subtropical,-0.039,0.138,63.0,0.331
2021-06-13,East_Zone,Humid_Subtropical,0.049,0.089,43.0,0.338
2021-06-14,East_Zone,Humid_Subtropical,-0.048,0.109,56.0,0.374
2021-06-15,East_Zone,Humid_Subtropical,0.079,0.007,71.0,0.373
2021-06-16,East_Zone,Humid_Subtropical,0.152,0.123,72.0,0.398
2021-06-17,East_Zone,Humid_Subtropical,0.008,0.005,86.0,0.354
2021-06-18,East_Zone,Humid_Subtropical,0.222,0.123,52.0,0.325
2021-06-19,East_Zone,Humid_Subtropical,0.113,0.054,64.0,0.328
2021-06-20,East_Zone,Humid_Subtropical,0.214,0.102,58.0,0.36
2021-06-21,East_Zone,Humid_Subtropical,-0.006,0.023,89.0,0.375
2021-06-22,East_Zone,Humid_Subtropical,-0.166,0.05,67.0,0.336
2021-06-23,East_Zone,Humid_Subtropical,-0.071,0.102,67.0,0.329
2021-06-24,East_Zone,Humid_Subtropical,-0.06,0.125,59.0,0.415
2021-06-25,East_Zone,Humid_Subtropical,-0.095,0.146,56.0,0.354
2021-06-26,East_Zone,Humid_Subtropical,-0.22,0.011,34.0,0.309
2021-06-27,East_Zone,Humid_Subtropical,0.102,0.0,37.0,0.347
2021-06-28,East_Zone,Humid_Subtropical,-0.186,0.021,63.0,0.344
2021-06-29,East_Zone,Humid_Subtropical,0.093,0.016,61.0,0.329
2021-06-30,East_Zone,Humid_Subtropical,0.219,0.174,63.0,0.384
2021-07-01,East_Zone,Humid_Subtropical,-0.078,0.16,77.0,0.352
2021-07-02,East_Zone,Humid_Subtropical,0.039,0.02,62.0,0.33
2021-07-03,East_Zone,Humid_Subtropical,-0.04,0.183,54.0,0.385
2021-07-04,East_Zone,Humid_Subtropical,0.083,0.157,56.0,0.318
2021-07-05,East_Zone,Humid_Subtropical,-0.119,0.0,64.0,0.369
2021-07-06,East_Zone,Humid_Subtropical,-0.013,0.018,53.0,0.303
2021-07-07,East_Zone,Humid_Subtropical,0.112,0.0,79.0,0.312
2021-07-08,East_Zone,Humid_Subtropical,-0.005,0.075,60.0,0.389
2021-07-09,East_Zone,Humid_Subtropical,-0.163,0.081,65.0,0.377
2021-07-10,East_Zone,Humid_Subtropical,0.124,0.081,45.0,0.363
2021-07-11,East_Zone,Humid_Subtropical,-0.13,0.0,79.0,0.289
2021-07-12,East_Zone,Humid_Subtropical,0.008,0.0,86.0,0.322
2021-07-13,East_Zone,Humid_Subtropical,0.058,0.096,35.0,0.358
2021-07-14,East_Zone,Humid_Subtropical,0.012,0.117,67.0,0.365
2021-07-15,East_Zone,Humid_Subtropical,0.254,0.0,58.0,0.374
2021-07-16,East_Zone,Humid_Subtropical,0.073,0.003,65.0,0.401
2021-07-17,East_Zone,Humid_Subtropical,-0.02,0.141,68.0,0.394
2021-07-18,East_Zone,Humid_Subtropical,0.06,0.007,20.0,0.326
2021-07-19,East_Zone,Humid_Subtropical,0.021,0.079,74.0,0.396
2021-07-20,East_Zone,Humid_Subtropical,0.004,0.001,80.0,0.323
2021-07-21,East_Zone,Humid_Subtropical,0.024,0.13,82.0,0.294
2021-07-22,East_Zone,Humid_Subtropical,-0.043,0.0,43.0,0.303
2021-07-23,East_Zone,Humid_Subtropical,0.021,0.062,59.0,0.284
2021-07-24,East_Zone,Humid_Subtropical,-0.051,0.136,50.0,0.362
2021-07-25,East_Zone,Humid_Subtropical,-0.19,0.117,26.0,0.364
2021-07-26,East_Zone,Humid_Subtropical,0.114,0.052,49.0,0.305
2021-07-27,East_Zone,Humid_Subtropical,-0.057,0.038,40.0,0.324
2021-07-28,East_Zone,Humid_Subtropical,0.014,0.066,66.0,0.314
2021-07-29,East_Zone,Humid_Subtropical,-0.076,0.003,31.0,0.337
2021-07-30,East_Zone,Humid_Subtropical,-0.073,0.074,42.0,0.333
2021-07-31,East_Zone,Humid_Subtropical,-0.104,0.075,51.0,0.389
2021-08-01,East_Zone,Humid_Subtropical,0.095,0.055,74.0,0.359
2021-08-02,East_Zone,Humid_Subtropical,0.119,0.14,110.0,0.423
2021-08-03,East_Zone,Humid_Subtropical,0.003,0.016,65.0,0.33
2021-08-04,East_Zone,Humid_Subtropical,-0.054,0.0,41.0,0.404
2021-08-05,East_Zone,Humid_Subtropical,-0.169,0.048,48.0,0.352
2021-08-06,East_Zone,Humid_Subtropical,0.08,0.087,72.0,0.346
2021-08-07,East_Zone,Humid_Subtropical,-0.068,0.074,36.0,0.431
2021-08-08,East_Zone,Humid_Subtropical,-0.112,0.071,80.0,0.303
2021-08-09,East_Zone,Humid_Subtropical,0.003,0.012,65.0,0.326
2021-08-10,East_Zone,Humid_Subtropical,-0.033,0.021,58.0,0.295
2021-08-11,East_Zone,Humid_Subtropical,-0.152,0.051,30.0,0.298
2021-08-12,East_Zone,Humid_Subtropical,-0.138,0.046,77.0,0.289
2021-08-13,East_Zone,Humid_Subtropical,0.034,0.146,46.0,0.395
2021-08-14,East_Zone,Humid_Subtropical,-0.066,0.096,63.0,0.324
2021-08-15,East_Zone,Humid_Subtropical,0.051,0.048,57.0,0.344
2021-08-16,East_Zone,Humid_Subtropical,0.015,0.146,31.0,0.403
2021-08-17,East_Zone,Humid_Subtropical,0.105,0.107,56.0,0.381
2021-08-18,East_Zone,Humid_Subtropical,-0.083,0.0,38.0,0.352
2021-08-19,East_Zone,Humid_Subtropical,0.023,0.0,48.0,0.376
2021-08-20,East_Zone,Humid_Subtropical,0.064,0.0,68.0,0.388
2021-08-21,East_Zone,Humid_Subtropical,-0.063,0.116,73.0,0.331
2021-08-22,East_Zone,Humid_Subtropical,0.113,0.133,60.0,0.388
2021-08-23,East_Zone,Humid_Subtropical,-0.167,0.0,44.0,0.332
2021-08-24,East_Zone,Humid_Subtropical,-0.083,0.12,48.0,0.366
2021-08-25,East_Zone,Humid_Subtropical,-0.17,0.117,48.0,0.324
2021-08-26,East_Zone,Humid_Subtropical,-0.074,0.164,22.0,0.365
2021-08-27,East_Zone,Humid_Subtropical,-0.015,0.137,61.0,0.362
2021-08-28,East_Zone,Humid_Subtropical,0.083,0.161,30.0,0.423
2021-08-29,East_Zone,Humid_Subtropical,-0.016,0.109,61.0,0.333
2021-08-30,East_Zone,Humid_Subtropical,-0.06,0.107,34.0,0.295
2021-08-31,East_Zone,Humid_Subtropical,-0.155,0.06,38.0,0.355
2021-09-01,East_Zone,Humid_Subtropical,-0.121,0.429,132.0,0.41
2021-09-02,East_Zone,Humid_Subtropical,0.031,0.3,120.0,0.411
2021-09-03,East_Zone,Humid_Subtropical,0.088,0.372,86.0,0.453
2021-09-04,East_Zone,Humid_Subtropical,-0.042,0.412,110.0,0.44
2021-09-05,East_Zone,Humid_Subtropical,0.121,0.464,125.0,0.443
2021-09-06,East_Zone,Humid_Subtropical,-0.095,0.351,109.0,0.423
2021-09-07,East_Zone,Humid_Subtropical,-0.039,0.438,114.0,0.475
2021-09-08,East_Zone,Humid_Subtropical,-0.031,0.368,124.0,0.397
2021-09-09,East_Zone,Humid_Subtropical,0.153,0.439,121.0,0.472
2021-09-10,East_Zone,Humid_Subtropical,0.013,0.332,102.0,0.393
2021-09-11,East_Zone,Humid_Subtropical,-0.18,0.424,120.0,0.464
2021-09-12,East_Zone,Humid_Subtropical,0.095,0.374,115.0,0.387
2021-09-13,East_Zone,Humid_Subtropical,0.185,0.309,151.0,0.434
2021-09-14,East_Zone,Humid_Subtropical,-0.025,0.371,118.0,0.43
2021-09-15,East_Zone,Humid_Subtropical,-0.09,0.459,122.0,0.458
2021-09-16,East_Zone,Humid_Subtropical,0.086,0.319,125.0,0.449
2021-09-17,East_Zone,Humid_Subtropical,0.196,0.291,114.0,0.388
2021-09-18,East_Zone,Humid_Subtropical,0.085,0.404,107.0,0.44
2021-09-19,East_Zone,Humid_Subtropical,-0.162,0.279,128.0,0.419
2021-09-20,East_Zone,Humid_Subtropical,0.075,0.474,128.0,0.45
2021-09-21,East_Zone,Humid_Subtropical,0.04,0.472,157.0,0.48
2021-09-22,East_Zone,Humid_Subtropical,-0.095,0.442,133.0,0.46
2021-09-23,East_Zone,Humid_Subtropical,0.129,0.379,134.0,0.417
2021-09-24,East_Zone,Humid_Subtropical,0.044,0.48,133.0,0.498
2021-09-25,East_Zone,Humid_Subtropical,0.131,0.461,108.0,0.472
2021-09-26,East_Zone,Humid_Subtropical,-0.106,0.348,97.0,0.402
2021-09-27,East_Zone,Humid_Subtropical,0.04,0.466,102.0,0.431
2021-09-28,East_Zone,Humid_Subtropical,-0.09,0.325,132.0,0.415
2021-09-29,East_Zone,Humid_Subtropical,0.025,0.368,146.0,0.445
2021-09-30,East_Zone,Humid_Subtropical,0.148,0.272,133.0,0.342
2021-10-01,East_Zone,Humid_Subtropical,-0.143,0.389,117.0,0.413
2021-10-02,East_Zone,Humid_Subtropical,-0.137,0.362,150.0,0.413
2021-10-03,East_Zone,Humid_Subtropical,0.096,0.353,112.0,0.385
2021-10-04,East_Zone,Humid_Subtropical,-0.001,0.37,99.0,0.402
2021-10-05,East_Zone,Humid_Subtropical,0.117,0.345,125.0,0.43
2021-10-06,East_Zone,Humid_Subtropical,-0.081,0.383,143.0,0.421
2021-10-07,East_Zone,Humid_Subtropical,0.005,0.457,105.0,0.442
2021-10-08,East_Zone,Humid_Subtropical,0.069,0.316,89.0,0.378
2021-10-09,East_Zone,Humid_Subtropical,0.021,0.432,121.0,0.442
2021-10-10,East_Zone,Humid_Subtropical,-0.179,0.393,134.0,0.393
2021-10-11,East_Zone,Humid_Subtropical,0.282,0.402,67.0,0.484
2021-10-12,East_Zone,Humid_Subtropical,0.021,0.378,138.0,0.487
2021-10-13,East_Zone,Humid_Subtropical,-0.134,0.337,95.0,0.41
2021-10-14,East_Zone,Humid_Subtropical,0.031,0.407,133.0,0.408
2021-10-15,East_Zone,Humid_Subtropical,0.043,0.411,84.0,0.468
2021-10-16,East_Zone,Humid_Subtropical,0.099,0.332,93.0,0.441
2021-10-17,East_Zone,Humid_Subtropical,0.093,0.3,131.0,0.471
2021-10-18,East_Zone,Humid_Subtropical,-0.021,0.385,142.0,0.5
2021-10-19,East_Zone,Humid_Subtropical,-0.172,0.425,120.0,0.385
2021-10-20,East_Zone,Humid_Subtropical,0.046,0.44,163.0,0.485
2021-10-21,East_Zone,Humid_Subtropical,-0.164,0.452,102.0,0.446
2021-10-22,East_Zone,Humid_Subtropical,0.122,0.402,101.0,0.457
2021-10-23,East_Zone,Humid_Subtropical,-0.073,0.364,115.0,0.454
2021-10-24,East_Zone,Humid_Subtropical,0.063,0.38,114.0,0.457
2021-10-25,East_Zone,Humid_Subtropical,-0.066,0.305,125.0,0.446
2021-10-26,East_Zone,Humid_Subtropical,-0.049,0.339,107.0,0.408
2021-10-27,East_Zone,Humid_Subtropical,-0.08,0.377,130.0,0.406
2021-10-28,East_Zone,Humid_Subtropical,0.072,0.364,130.0,0.467
2021-10-29,East_Zone,Humid_Subtropical,-0.062,0.386,149.0,0.41
2021-10-30,East_Zone,Humid_Subtropical,0.077,0.298,111.0,0.47
2021-10-31,East_Zone,Humid_Subtropical,-0.06,0.311,126.0,0.395
2021-11-01,East_Zone,Humid_Subtropical,-0.023,0.427,131.0,0.435
2021-11-02,East_Zone,Humid_Subtropical,0.004,0.33,120.0,0.417
2021-11-03,East_Zone,Humid_Subtropical,0.015,0.339,116.0,0.379
2021-11-04,East_Zone,Humid_Subtropical,-0.092,0.386,83.0,0.39
2021-11-05,East_Zone,Humid_Subtropical,0.07,0.324,122.0,0.448
2021-11-06,East_Zone,Humid_Subtropical,-0.027,0.446,131.0,0.4
2021-11-07,East_Zone,Humid_Subtropical,0.054,0.305,119.0,0.492
2021-11-08,East_Zone,Humid_Subtropical,-0.002,0.38,106.0,0.432
2021-11-09,East_Zone,Humid_Subtropical,0.059,0.335,90.0,0.393
2021-11-10,East_Zone,Humid_Subtropical,-0.041,0.389,128.0,0.45
2021-11-11,East_Zone,Humid_Subtropical,-0.079,0.35,121.0,0.354
2021-11-12,East_Zone,Humid_Subtropical,0.043,0.379,145.0,0.425
2021-11-13,East_Zone,Humid_Subtropical,-0.049,0.453,94.0,0.447
2021-11-14,East_Zone,Humid_Subtropical,0.146,0.339,112.0,0.387
2021-11-15,East_Zone,Humid_Subtropical,0.007,0.338,96.0,0.406
2021-11-16,East_Zone,Humid_Subtropical,-0.137,0.361,138.0,0.476
2021-11-17,East_Zone,Humid_Subtropical,-0.059,0.468,142.0,0.462
2021-11-18,East_Zone,Humid_Subtropical,-0.1,0.375,155.0,0.446
2021-11-19,East_Zone,Humid_Subtropical,0.107,0.454,129.0,0.43
2021-11-20,East_Zone,Humid_Subtropical,0.077,0.369,134.0,0.393
2021-11-21,East_Zone,Humid_Subtropical,-0.006,0.451,128.0,0.446
2021-11-22,East_Zone,Humid_Subtropical,0.029,0.404,130.0,0.367
2021-11-23,East_Zone,Humid_Subtropical,-0.009,0.413,121.0,0.41
2021-11-24,East_Zone,Humid_Subtropical,0.086,0.294,131.0,0.376
2021-11-25,East_Zone,Humid_Subtropical,0.052,0.285,159.0,0.35
2021-11-26,East_Zone,Humid_Subtropical,0.07,0.444,124.0,0.47
2021-11-27,East_Zone,Humid_Subtropical,-0.019,0.443,120.0,0.447
2021-11-28,East_Zone,Humid_Subtropical,-0.063,0.525,124.0,0.453
2021-11-29,East_Zone,Humid_Subtropical,0.067,0.291,117.0,0.433
2021-11-30,East_Zone,Humid_Subtropical,0.155,0.409,124.0,0.393
2021-12-01,East_Zone,Humid_Subtropical,0.111,0.359,147.0,0.389
2021-12-02,East_Zone,Humid_Subtropical,0.158,0.376,171.0,0.468
2021-12-03,East_Zone,Humid_Subtropical,0.016,0.39,169.0,0.506
2021-12-04,East_Zone,Humid_Subtropical,-0.097,0.443,189.0,0.471
2021-12-05,East_Zone,Humid_Subtropical,-0.088,0.38,150.0,0.449
2021-12-06,East_Zone,Humid_Subtropical,0.138,0.422,155.0,0.428
2021-12-07,East_Zone,Humid_Subtropical,-0.186,0.47,154.0,0.441
2021-12-08,East_Zone,Humid_Subtropical,0.15,0.488,154.0,0.469
2021-12-09,East_Zone,Humid_Subtropical,-0.079,0.462,170.0,0.497
2021-12-10,East_Zone,Humid_Subtropical,0.192,0.447,121.0,0.465
2021-12-11,East_Zone,Humid_Subtropical,-0.007,0.412,158.0,0.472
2021-12-12,East_Zone,Humid_Subtropical,0.072,0.386,186.0,0.409
2021-12-13,East_Zone,Humid_Subtropical,0.239,0.452,175.0,0.472
2021-12-14,East_Zone,Humid_Subtropical,-0.033,0.357,172.0,0.409
2021-12-15,East_Zone,Humid_Subtropical,-0.035,0.427,165.0,0.451
2021-12-16,East_Zone,Humid_Subtropical,-0.069,0.355,139.0,0.447
2021-12-17,East_Zone,Humid_Subtropical,-0.1,0.418,137.0,0.429
